Label:;Etiqueta:
Label;Etiqueta
Address:;Dirección:
"Display address";"Mostrar dirección"
"Display location button";"Mostrar botón de ubicación"
Pictures;Imágenes
"Add ";Agregar
Description:;Descripción:
Alignment:;Alineación:
Size:;Tamaño:
Small;Pequeño
Medium;Mediano
Large;Grande
"Add a";"Agregar a"
Picture;Imagen
"Loading picture:";"Cargando imagen"
".mp4 or .3gp format";"Formato .mp4 ó .3gp"
"Video URL:";"URL Video:"
"Select a video type:";"Seleccione un tipo de vídeo:"
"My video";"Mi vídeo"
"My Youtube video:";"Mi vídeo de Youtube:"
"Make a search or enter the Youtube Url:";"Buscar o ingresar URL de Youtube:"
"Podcast URL:";"URL de Podcast:"
"Your Podcast:";"Su Podcast:"
"Add sections:";"Agregar secciones:"
"An error occurred while saving your page.";"Se ha producido un error al guardar su página"
"Page successfully saved";"Página guardada correctamente"
