"404, page not found";"404, stránka nebyla nalezena"
APIs;API
Accounts;Účty
Actions;Akce
Add;Přidat
"Add a";Přidat
"Add image";"Přidat obrázek"
Address;Adresa
"All items";"Všechny položky"
"An error occurred during process. Please try again later.";"Došlo k chybě. Zkuste to prosím později."
"An error occurred during the process. Please try again later.";"Došlo k chybě. Zkuste to prosím později."
"An error occurred while loading places.";"Při načítání míst došlo k chybě"
"An error occurred while loading. Please try again later.";"Při načítání došlo k chybě. Zkuste to prosím později."
"An error occurred while loading. Please, try again later.";"Při načítání došlo k chybě. Zkuste to prosím později."
"An error occurred while saving";"Při ukládání došlo k chybě"
"An error occurred while saving your account. Please try again later.";"Při ukládání vašeho účtu došlo k chybě. Zkuste to prosím později."
"An error occurred while saving your picture. Please try againg later.";"Při ukládání obrázku došlo k chybě. Prosím, zkuste to prosím později."
"An error occurred while saving. Please try again later.";"Při ukládání došlo k chybě. Zkuste to prosím později."
"An error occurred while saving. Please, try again later.";"Při ukládání došlo k chybě. Zkuste to prosím později."
"An error occurred while uploading your file. Please, try again later.";"Při nahrávání souboru došlo k chybě. Zkuste to prosím později"
"An unexpected error occurred while calculating the route.";"Při vypočítávání cesty došlo k chybě"
Appearance;Vzhled
Application;Aplikace
"Application Name";"Název aplikace"
Applications;Aplikace
"Are you sure you want to delete this element?";"Jste si jisti, že chcete smazat tento prvek?"
"Are you sure you want to remove this account?";"Jste si jisti, že chcete odstranit tento účet?"
"Authentication failed. Please check your email and/or your password";"Ověření se nezdařilo. Zkontrolujte prosím svůj e-mail a/nebo heslo"
Back;Zpět
Background;Pozadí
Browse;Prohlížet
"Can only be used once";"Lze použít pouze jednou"
Cancel;Zrušit
Cart;Košík
"Change password";"Změnit heslo"
City;Město
City:;Město:
Close;Zavřít
Comment;Komentář
Comments;Komentáře
Communication;Komunikace
Company;Společnost
Coms;?Coms?
Conditions;Podmínky
"Confirm Password";"Potvrzení hesla"
"Confirm new password";"Potvrdit heslo"
"Contact successfully added to your address book";"Kontakt přidán do seznamu"
Country;Země
Create;Vytvořit
"Create a new account";"Vytvořit nový účet"
"Created at";Vytvořeno
Currency;Měna
"Current password";"Současné heslo"
Dashboard;Aplikace
"Date of birth";"Datum narození"
"Date of birth:";"Datum narození:"
"Default Languages";"Výchozí jazyky"
Delete;Smazat
Description;Popis
Description:;Popis:
Details;Podrobnosti
Edit;Upravit
Editing;Úpravy
Email;E-mail
"Email address";"E-mailová adresa"
Email:;E-mail:
"End at";"Platnost do"
"Error : <br/>";"Chyba: <br/>"
"Errors : <br/>";"Chyby: <br/>"
"Export your customers";"Exportujte své zákazníky"
"Extension not allowed, '%s' only";"Rozšíření není povoleno, pouze '%s'"
Facebook;Facebook
Firstname;Jméno
Firstname:;Jméno:
"Forgot your password ?";"Zapomněli jste heslo?"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.";"Zapomněli jste heslo? Nebojte se! Jednoduše zadejte svou e-mailovou adresu a my Vám obratem zašleme nové!"
General;Obecné
Hello,;"Dobrý den,"
"Here is your new password:";"Zde je vaše nové heslo:"
"How do you want to access the backoffice if you remove the only user remaining?";"Jak chcete přistupovat do backoffice, pokud odeberete posledního uživatele??"
ID;ID
"Image not high enough, %spx minimum allowed.";"Obrázek není dostatečně vysoký, musí mít minimálně %spx"
"Image not large enough, %spx minimum allowed.";"Obrázek není dostatečně široký, musí mít minimálně %spx"
"Image not large enough, '%s' allowed.";"Obrázek není dostatečně velký, '%s' povolen."
"Image too high, %spx maximum allowed.";"Obrázek je příliš vysoký, může mít maximálně %spx"
"Image too large, %spx maximum allowed.";"Obrázek je přílišširoký, může mít maximálně %spx"
"Image too large, '%s' allowed.";"Obrázek je příliš velký, '%s' povolen."
"In order to fully enjoy our features, we encourage you to use at least:.<br />";"Aby bylo možné plně využívat všechny funkce, doporučujeme použít alespoň: <br />"
"In order to publish your application, we need:<br />- ";"Aby bylo možné publikovat Vaši aplikaci, potřebujeme:<br />-"
"Incorrect filetype.";"Nesprávný typ souboru"
"Info successfully saved";"Informace úspěšně uložena"
Information;Informace
"Infos successfully saved";"Informace úspěšně uloženy"
"Insert a <br /><span class=""bold"">cover image</span>";"Vložit <br /><span class=""bold"">obrázek</span>"
"Invalid place";"Neplatné místo"
Invoices;Faktury
"Last Name";Příjmení
Lastname;Příjmení
Lastname:;Příjmení:
Like;Like
Likes;Like
Link;Odkaz
"Load More";"Nahrát další"
Locate;MAPA
Location:;Místo:
"Log in";"Přihlásit se"
Log-in;"Přihlásit se"
Log-out;"Odhlásit se"
"Logged in as";"Přihlášen jako"
"MM,d yy";"d, MM yy"
MM/dd/y;"dd / MM / y"
"MM/dd/y 'at' hh:mm a";"dd / MM / y 'at' hh:mm"
"MM/dd/y hh:mm a";"DD / MM / y hh:mm"
MM/dd/yy;"dd / MM / yy"
MM/dd/yyyy;"dd / MM / yyyy"
"MMMM dd y";"dd MMMM y"
"Main category";"Hlavní kategorie"
"Make this image colorizable";"?Obrázek bude obarvitelný?"
Manage;Upravit
Map;Mapa
Maps;Mapy
"Message from your app %s";"Zpráva z Vaší mobilní aplikace %s"
Messages;Zprávy
Modules;Moduly
More;Více
"My account";"Můj účet"
"My invoices";"Moje faktury"
Name;Název
Never;Nikdy
New;Nový
Next;Další
No;Ne
"No address to display on map.";"Chybí adresa ke zobrazení v mapě"
"No place to display on map.";"Chybí místo ke zobrazení v mapě"
"No results";"Žádné výsledky"
"No uploaded image";"Žádné nahrané obrázky"
"Nothing to display";"Nic ke zobrazení"
Number;Číslo
OK;OK
OR;NEBO
"Ouch, this page doesn't exist";"Ups, tato stránka neexistuje"
Password;Heslo
Password:;Heslo:
"Passwords don't match";"Hesla se neshodují"
Payment;Platba
Phone;Telefon
Phone:;Telefon:
Photos;Fotografie
Plans;Tarify
"Platform Name";"Název platformy"
Player;Hráč
"Please enter a password";"Prosím, zadejte heslo"
"Please enter a valid URL.";"Zadejte prosím platnou URL"
"Please enter a valid credit card number.";"Zadejte prosím platné číslo karty"
"Please enter a valid date (ISO).";"Zadejte prosím platné datum"
"Please enter a valid date.";"Zadejte prosím platné datum"
"Please enter a valid email address";"Zadejte prosím platnou e-mailovou adresu"
"Please enter a valid email address.";"Zadejte prosím platnou emailovou adresu"
"Please enter a valid number.";"Zadejte prosím platné číslo"
"Please enter a valid url";"Zadejte prosím platnou adresu URL"
"Please enter a value between {0} and {1} characters long.";"Zadejte prosím hodnotu mezi {0} a {1}"
"Please enter a value between {0} and {1}.";"Zadejte prosím hodnotu mezi {0} a {1}"
"Please enter a value greater than or equal to {0}.";"Zadejte prosím hodnotu větší nebo rovno {0}."
