"Booking details";"预订信息"
"Booking details:";"预订信息："
"Booking subject:";"主题预订："
"Comment:";"评论："
"Date and time";"日期和时间"
"Date and time:";"日期和时间："
"Email address:";"电子邮件地址："
"Enter the location name and contact email:";"输入位置和联系人的电子邮件的名称："
"First name / Last name";"名字/姓"
"Here are his personal information:";"您的个人资料："
"Name:";"姓名："
"Nom du lieu :";
"People number:";"人数："
"Phone number:";"电话号码："
"Please fill out the following fields: ";"请填写以下字段："
"Please fill out the following fields:<br />";"请填写以下信息：<br />"
"Please, choose a store";"请选择一个商店"
"Thank you for your request. We'll answer you as soon as possible.";"感谢您的要求。我们会尽快回复。"
"The booking information";"预约信息"
"The booking informations";"预订信息"
"The date and time of the booking";"日期和预订时"
"The number of people";"人数"
"You have received a message for the booking of";"他收到一条消息，从储备"
"Your phone number or email address";"您的手机号码或电子邮件地址"
