"%s ago";"%s назад"
"404, page not found";"404, страница не найдена"
"APIs";"APIs"
"Accounts";"Аккаунт"
"Actions";"Действие"
"Add";"Добавлять"
"Add a";"Добавить"
"Add image";"Добавить фото"
"Address";"Адрес"
"All items";"Все детали"
"An error occurred during process. Please try again later.";"Произошла ошибка во время процесса. Пожалуйста, повторите попытку позже."
"An error occurred during the process. Please try again later.";"Произошла ошибка во время процесса. Пожалуйста, повторите попытку позже."
"An error occurred while loading places.";"Произошла ошибка при загрузке места."
"An error occurred while loading. Please try again later.";"Произошла ошибка при загрузке. Пожалуйста, повторите попытку позже."
"An error occurred while loading. Please, try again later.";"Произошла ошибка при загрузке. Пожалуйста, повторите попытку позже."
"An error occurred while saving";"Произошла ошибка при сохранении"
"An error occurred while saving your account. Please try again later.";"Произошла ошибка при сохранении вашего аккаунта. Пожалуйста, повторите попытку позже."
"An error occurred while saving your picture. Please try againg later.";"Произошла ошибка при сохранении вашего аккаунта. Пожалуйста, повторите попытку позже."
"An error occurred while saving. Please try again later.";"Произошла ошибка при сохранении. Пожалуйста, повторите попытку позже."
"An error occurred while saving. Please, try again later.";"Произошла ошибка при сохранении. Пожалуйста, повторите попытку позже."
"An error occurred while uploading your file. Please, try again later.";"Произошла ошибка при загрузке файла. Пожалуйста, повторите попытку позже."
"An unexpected error occurred while calculating the route.";"Произошла непредвиденная ошибка при расчете маршрута."
"Appearance";"Логотип"
"Application";"Приложение"
"Application Name";"Имя приложения"
"Applications";"Приложения"
"Are you sure you want to delete this element?";"Вы уверены, что хотите удалить этот элемент?"
"Are you sure you want to remove this account?";"Вы уверены, что хотите удалить этот аккаунт?"
"Authentication failed. Please check your email and/or your password";"Ошибка аутентификации. Пожалуйста, проверьте свою электронную почту или пароль"
"Back";"Назад"
"Background";"Фон"
"Browse";"Смотреть"
"Can only be used once";"Это предложение может быть использовано только один раз."
"Cancel";"Отменить"
"Cart";"Корзина"
"Change password";"Сменить пароль"
"City";"Город"
"City:";"Город:"
"Close";"Закрыть"
"Comment";"Комментарий"
"Comments";"Комментарии"
"Communication";"Связи"
"Company";"Компания"
"Coms";"Coms"
"Conditions";"Условия"
"Confirm Password";"Подтвердите пароль"
"Confirm new password";"Подтвердите новый пароль"
"Contact successfully added to your address book";"Обратный адрес успешно добавлен в вашу адресную книгу"
"Country";"Страна"
"Create";"Создать"
"Create a new account";"Создать новую учетную запись"
"Created at";"Создано "
"Currency";"Валюта"
"Current password";"Текущий пароль"
"Dashboard";"Панель упр."
"Date of birth";"Дата рождения"
"Date of birth:";"Дата рождения:"
"Default Languages";"Язык по умолчанию"
"Delete";"Удалить"
"Description";"Описание"
"Description:";"Описание:"
"Details";"Подробности"
"Edit";"Редактировать"
"Editing";"Редактирование"
"Email";"Email"
"Email address";"Адрес электронной почты"
"Email:";"Email:"
"End at";"Окончание действия"
"Error : <br/>";"Ошибка: <br/>"
"Errors : <br/>";"Ошибки: <br/>"
"Export your customers";"Экспорт клиентов"
"Extension not allowed, '%s' only";"Расширение не допускается, '%s' только"
"Facebook";"Facebook"
"Firstname";"Имя"
"Firstname:";"Имя:"
"Forgot your password ?";"Забыли пароль?"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.";"Забыли пароль? Не волнуйтесь! Просто введите свой адрес электронной почты, и мы вышлем вам новый прямо сейчас."
"General";"Главная"
"Hello,";"Привет,"
"Here is your new password:";"Вот ваш новый пароль:"
"How do you want to access the backoffice if you remove the only user remaining?";"Как вы хотите получить доступ к бэк-офис, нужно чтобы остался хотя бы один пользователь?"
"ID";"ID"
"Image not high enough, %spx minimum allowed.";"Изображение не достаточно высокое, %spx минимально допустимое."
"Image not large enough, %spx minimum allowed.";"Изображение не достаточно большое %spx минимально допустимое."
"Image not large enough, '%s' allowed.";"Изображение не достаточно большое, '%s' допускается."
"Image too high, %spx maximum allowed.";"Изображение слишком высокое, %spx максимально допустимое."
"Image too large, %spx maximum allowed.";"Снимок слишком большой, %spx  максимально допустимое значение."
"Image too large, '%s' allowed.";"Снимок слишком большой, '%s' допускается."
"In order to fully enjoy our features, we encourage you to use at least:.<br />";"Для того, чтобы в полной мере насладиться нашими возможностями, мы рекомендуем вам использовать по крайней мере :. <br />"
"In order to publish your application, we need:<br />- ";"Для того, чтобы опубликовать свое приложение, нам понадобится: <br /> -"
"Incorrect filetype.";"Неправильный тип файла."
"Info successfully saved";"Информация успешно сохранена"
"Information";"Информация"
"Infos successfully saved";"Информация успешно сохранена"
"Insert a <br /><span class=""bold"">cover image</span>";"Вставьте <br /><span class=""bold"">баннер обложки</span>"
"Invalid place";"Неверное место"
"Invoices";"Счета"
"Last Name";"Фамилия"
"Lastname";"Фамилия"
"Lastname:";"Фамилия:"
"Like";"Нравится"
"Likes";"Нравятся"
"Link";"Ссылка"
"Load More";"Загрузить еще"
"Locate";"Навигация по карте"
"Location:";"Места"
"Log in";"Войти"
"Log-in";"Авторизоваться"
"Log-out";"Выход"
"Logged in as";"Вы вошли как"
"MM,d yy";"MM,d yy"
"MM/dd/y";"MM/dd/y"
"MM/dd/y 'at' hh:mm a";"MM/dd/y 'at' hh:mm a"
"MM/dd/y hh:mm a";"MM/dd/y hh:mm a"
"MM/dd/yy";"MM/dd/yy"
"MM/dd/yyyy";"MM/dd/yyyy"
"MMMM dd y";"MMMM dd y"
"Main category";"Главная категория"
"Make this image colorizable";"Сделать изображение с нормальными цветами"
"Manage";"Управлять"
"Map";"Карта"
"Maps";"Карты"
"Message from your app %s";"Сообщение из вашего приложения %s"
"Messages";"Сообщения"
"Modules";"Модули"
"More";"Ещё"
"My account";"Мой аккаунт"
"My invoices";"Мои счета"
"Name";"Имя"
"Never";"Никогда "
"New";"Новый"
"Next";"Далее"
"No";"Нет"
"No address to display on map.";"Адрес не будет отображаться на карте."
"No place to display on map.";"Нет этого места для отображения на карте."
"No results";"Нет результатов"
"No uploaded image";"Нет загруженного изображения"
"Nothing to display";"Ничего не отображать"
"Number";"Количество"
"OK";"ДА"
"OR";"ИЛИ"
"Ouch, this page doesn't exist";"Ой, этой страницы не существует"
"Password";"Пароль"
"Password:";"Пароль:"
"Passwords don't match";"Пароли не совпадают"
"Payment";"Оплата"
"Phone";"Телефон"
"Phone:";"Телефон:"
"Photos";"Фото"
"Plans";"Тариф"
"Platform Name";"Имя платформы"
"Player";"Воспроизвести"
"Please enter a password";"Пожалуйста, введите пароль"
"Please enter a valid URL.";"Пожалуйста, введите URL-адрес."
"Please enter a valid credit card number.";"Пожалуйста, введите действительный номер кредитной карты."
"Please enter a valid date (ISO).";"Пожалуйста, введите дату (ISO)."
"Please enter a valid date.";"Пожалуйста, введите дату."
"Please enter a valid email address";"Пожалуйста, введите верный адрес"
"Please enter a valid email address.";"Пожалуйста, введите действительный адрес электронной почты."
"Please enter a valid number.";"Пожалуйста, введите правильный номер."
"Please enter a valid url";"Пожалуйста, введите правильный URL"
"Please enter a value between {0} and {1} characters long.";"Пожалуйста, введите значение между {0} и {1} символов."
"Please enter a value between {0} and {1}.";"Пожалуйста, введите значение между {0} и {1}."
"Please enter a value greater than or equal to {0}.";"Пожалуйста, введите значение, большее или равное {0}."
"Please enter a value less than or equal to {0}.";"Пожалуйста, введите значение, которое меньше или равно {0}."
"Please enter at least {0} characters.";"Пожалуйста, введите по крайней мере {0} символов."
"Please enter no more than {0} characters.";"Пожалуйста, введите не более {0} символов."
"Please enter only digits.";"Пожалуйста, введите только цифры."
"Please enter the same value again.";"Пожалуйста, введите то же значение снова."
"Please enter your email address";"Пожалуйста, введите ваш адрес электронной почты"
"Please fill in the following fields:";"Пожалуйста, заполните следующие поля:"
"Please fix this field.";"Пожалуйста, исправьте это поле."
"Please log in.";"Пожалуйста, войдите."
"Please, enter a correct email address.";"Пожалуйста, введите правильный адрес электронной почты."
"Please, enter a password.";"Пожалуйста, введите пароль."
"Please, enter a valid date";"Пожалуйста, введите правильную дату"
"Podcast";"Подкаст"
"Podcast URL (iTunes format)";"Подкаст URL (формат Itunes)"
"Podcast type is invalid or can't be found";"Этот тип подкаста является недействительным или не может быть найден"
"Postcode";"Почтовый индекс"
"Postcode:";"Почтовый индекс:"
"Push";"Push"
"Required fields";"Обязательные для заполнения поля"
"Resize your picture";"Изменение размера изображения"
"Resize your picture:";"Изменение размера изображения:"
"SEND";"ОТПРАВИТЬ"
"Save";"Сохранить"
"Search";"Поиск"
"Select a country";"Выберите страну"
"Select all";"Выбрать все"
"Send";"ОТПРАВИТЬ"
"Send your pictures";"Вставьте свои фотографии"
"Settings";"Настройки"
"Size:";"Размер:"
"Street";"Улица"
"Street:";"Улица:"
"Subscriptions";"Подписки"
"Support";"Поддержка"
"Support Link";"Ссылка поддержки"
"Tax";"Налог"
"Taxes";"Налоги"
"Text";"Текст"
"The account has been successfully saved";"Учетная запись была успешно сохранена"
"The address you're looking for does not exists.";"Адрес, который вы ищете не существует."
"The email is required";"Требуется Email "
"The file '%s' does not exist";"Файл '%s' не существует"
"The image '%s' does not exist";"Изображение %s не существует"
"The image size '%s' could not be detected.";"Размер изображения '%s' не соответствует"
"The old password does not match the entered password.";"Старый пароль не соответствует введенному паролю."
"The password is required";"Требуется пароль"
"The password must be at least 6 characters";"Пароль должен быть не менее 6 символов"
"The payment has been cancelled, something wrong happened? Feel free to contact us.";"Оплата была отменена, что то не так произошло? Не стесняйтесь обращаться к нам."
"This administrator does not exist";"Этот администратор не существует"
"This email address is already used";"Этот адрес электронной почты уже используется"
"This field is required";"Заполнение данного поля обязательно"
"This field is required.";"Это поле обязательно к заполнению."
"This section is unlocked for mobile users only";"Этот раздел разблокирован для мобильных пользователей"
"Timezone";"Временная зона"
"Title";"название"
"Title:";"Заголовок:"
"Total";"Общий"
"Translations";"Переводы"
"Unable to add the contact to your address book";"Невозможно добавить контакт в адресную книгу"
"Unable to calculate the route.";"Невозможно рассчитать маршрут."
"Unable to save image";"Невозможно сохранить изображение"
"Unrecognized image format";"Неизвестный формат изображения"
"Updated at";"Обновлено"
