"An error occurred while saving your RSS feed";"Si è verificato un errore durante il salvataggio del feed RSS"
"Display feed pictures whenever possible";"Visualizza l'immagine del feed quando è possibile"
"Enter the URL of this RSS feed";"Inserisci l'URL di questo feed RSS"
"Found feeds";"Cerca feeds"
"No RSS feed could be found";"Nessun RSS feed trovato"
"RSS feed successfully saved";"RSS feed salvato correttamente"
"Show article";"Mostra articolo"
"day";"giorno"
"hour";"ora"
"minute";"minuti"
