"Access restricted to authorized members only";"Η πρόσβαση είναι περιορισμένη σε μέλη μόνο"
"Allow all the users by default:";"Να επιτρέπεται πρόσβαση σε όλους τους χρήστες από προεπιλογή:"
"Choose the features to lock:";"Επιλέξτε το περιεχόμενο που θέλετε να είναι κλειδωμένο:"
"Lock the entire application?";"Κλείδωμα ολόκληρης της εφαρμογής?"
"Restrict Access";"Περιορισμένη Πρόσβαση"
"We are sorry but your account does not have enough permissions to access this page";"Συγνώμη, αλλά ο λογαριασμός σας δεν έχει επαρκή δικαιώματα για να έχει πρόσβαση σε αυτή την σελίδα"
"the email address";E-mail
"the first name";Όνομα
"the gender";Γένος
"the last name";Επώνυμο
"the password";Κωδικός
