%s - All;%s – Alles
Add a category;Voeg een categorie toe
Add a format;Bewerk formaat
All;Alles
An error occurred while loading your product.;Er is een fout opgetreden tijdens het laden van uw product.
An error occurred while saving the category. Please try again later.;Er is een fout opgetreden tijdens het opslaan van de categorie. Probeer het later nog eens.
An error occurred while saving the product. Please try again later.;Er is een fout opgetreden tijdens het opslaan van het product. Probeer het later nog eens.
An error occurred while saving the set meal. Please try again later.;Er is een fout opgetreden tijdens het bewaren van het menu. Probeer het later nog eens.
An error occurred while saving. One of your categories could not be identified.;Er is een fout opgetreden tijdens het opslaan. Een van uw categorieën kan niet worden geïdentificeerd.
An error occurred while saving. One of your products could not be identified.;Er is een fout opgetreden tijdens het opslaan. Een van uw producten kan niet worden geïdentificeerd.
Are you sure you want to delete this product?;Weet u zeker dat u dit product wilt verwijderen?
Category;Categorie
Choose a category;Kies een categorie
Choose a subcategory;Kies een sub categorie
Click on a category to display sub-categories;Klik op een categorie om een sub categorie te zien
Create a new product;Maak een nieuw product
Does this product have many formats?;Heeft dit product veel formaten?
Edit the;bewerk de
Edit the product;Bewerk product
Format;Opmaak
Picture;Afbeelding
Price;Prijs
Product;Product
Product formats;Product formaat
Product name;Product naam
Rules;Regels
Set meal successfully deleted.;Menu verwijderd.
Set meal successfully saved.;Menu met succes opgeslagen.
Sub-category;sub categorie
st;st
sub-category;sub categorie
