"'Near me' radius (in km):";"'Vicino a me' raggio (in km):"
"An error occurred while deleting this answer. Please try again later.";"Si è verificato un errore durante l'eliminazione della richiesta. Si prega di riprovare più tardi."
"Create a news";"Crea una news"
"Create a news:";"Crea una news:"
"Hide this info";"Nascondi questa info"
"Information successfully deleted";"Informazione cancellata correttamente"
"Information successfully hidden";"Informazion nascosta correttamente"
"Information successfully saved";"Informazione salvata correttamente"
"Information successfully shown";"Informazione mostrata con successo"
"Insert a";"Inserisci un"
"It will be visible only after validation by our team.";"Sarà visibile solo dopo la validazione da parte del nostro team."
"My customers answers";"Le domande dei miei clienti"
"My customers' comments";"I commenti dei miei clienti"
"Near me";"Vicino a me"
"Near me settings";"Vicino a me impostazioni"
"New post";"Nuovo post"
"Post";"Post"
"Publishing date";"Data di pubblicazione"
"Radius";"Raggio"
"Radius must be a valid numeric value.";"Il raggio deve essere un valore numerico valido."
"Radius must be provided.";"Il raggio deve essere indicato."
"Read More";"Leggi tutto"
"Recent";"Recente"
"Show this info";"Mostra questa info"
"There is no comment for this news";"Non c'è nessun commento per questa news"
"Was flagged as inappropriate";"È stato segnalato come inappropriato"
"You can't like more than once the same news";"Non puoi avere ulteriori informazioni sulla stessa news"
"You need to be connected to create a post";"È necessario essere connessi per creare un post"
"Your flag has successfully been notified";"Il flag è stato notificato correttamente"
"Your like has been successfully added";"Il like è stato aggiunto con successo"
"Your message has been successfully saved.";"Il messaggio è stato salvato correttamente."
"Your post was successfully added";"Il post è stato aggiunto correttamente"
