%s by %s;%s ile %s
+ Add a track;+ Bir şarkı ekle
Add albums and tracks to the playlist:;Çalma listesine albüm ve parçaları ekleyin:
Are you sure you don't want to create an album for these tracks?;Bu parçalar için bir albüm oluşturmak istemediğinizden emin misin?
Are you sure you don't want to create an album for this track?;Bu parca için bir albüm oluşturmak istemediğinizden eminmisiniz?
Are you sure you want to delete this album (this won't delete tracks)?;Bu albümü (bu şarkıları silmez) silmek istediğinizden emin misiniz?
Are you sure you want to delete this album?;Bu albümü silmek istediğinizden emin misiniz?
Are you sure you want to delete this playlist?;Bu oynatma listesini silmek istediğinizden emin misiniz?
Are you sure you want to delete this track?;Bu parçayı silmek istediğinizden emin misiniz?
Artist:;Sanatçı:
Artist;Sanatçı
Album;Albüm
Albums;Albümler
Albums:;Albümler:
An error occurred while deleting your album. Thanks for trying later.;Albümünüzü silinirken bir hata oluştu. Daha sonra yeniden deneyin.
An error occurred while deleting your playlist. Thanks for trying later.;Çalma listenizi silinirken bir hata oluştu. Daha sonra deneyiniz.
An error occurred while deleting your track. Thanks for trying later.;Şarkınız silinirken bir hata oluştu daha sonra yeniden deneyiniz.
An error occurred while saving your playlist. Thanks for trying later.;Çalma listenizi kaydedilirken bir hata oluştu. Daha sonra yeniden deneyin.
An error occurred while deleting you images gallery. Please try again later.;Resim galeriniz silinirken bir hata oluştu daha sonra deneyiniz.
An error occurred while loading pictures. Please try later.;Resminiz yüklenirken bir hata oluştu dah sonra yeniden deneyiniz.
An error occurred while loading videos. Please try later.;Video yüklenirken bir hata oluştu. Lütfen daha sonra deneyin.
An error occurred while saving your images gallery. Please try again later.;Görüntüler galerisi kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz.
An error occurred while saving your videos gallery. Please try again later.;Videolarınızın galerisi kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz.
Audio;Audio
buy;satınal
Channel;Kanal
Choose an album;Bir albüm seç
close;kapat
Custom;Müşteri
Delete this gallery?;Bu galeri silinsin mi?
empty;boş
Feed URL;Besleme URL'si
"Feed URL <span class=""required-entry"">*</span> :";"Besleme URL <span class=""required-entry"">*</span> :"
from;den
Gallery Name;Galeri İsmi
"Gallery Name <span class=""required-entry"">*</span> :";"Galeri İsmi <span class=""required-entry"">*</span> :"
Group;Grup
hide;gizle
I'm listening to;Dinliyorum
Images gallery has been saved successfully;Görüntüler galerisi başarıyla kaydedildi
Instagram;Instagram
Last update:;Son güncelleme:
loop;loop
Maximum size : 2000*2000 px - Allowed filetypes : jpg and png;Maksimum büyüklük : 2000*2000 px – İzin verilen dosya türleri : jpg and png
music;müzik
My pictures;Resimlerim
next;sonraki
No album found;Albüm bulunamadı
No artist found;Şarkıcı bulunamadı
No track found;Şarkı bulunamadı
on;üstünde
Parameter;Parametre
Parameter/Feed Url;Parametre/besleme URL
pause;durdur
Picasa;Picasa
Picture%s;Resim%s
play;çal
PLAYER;ÇALAR
Playlist;Şarkı listesi
Playlist title:;Şarkı listesi başlığı:
Playlists;Şarkı listesi
Playlist successfully saved.;Şarkı listesi başarıyla kaydedildi.
Podcast;Podcast
Podcast URL (iTunes format);Podcast URL (iTunes format)
previous;önceki
Read all;Hepsini oku
Required field;Gerekli alan
Search/Url;Ara/URL
share;paylaş
shuffle;karıştır
The entered name is not a valid Instagram user.;Girilen ad geçerli Instagram kullanıcı değil.
This element is not an album.;Bu eleman bir albüm değil.
track;şarkı
tracks;şarkılar
Track;şarkı
Tracks;şarkılar
Type;Çeşit
URL (.mp3):;URL (.mp3):
Videos gallery has been saved successfully;Videolar galerisi başarıyla kaydedildi
Vimeo;Vimeo
