Lock the entire application?;Verrouiller l'application entière?
Choose the features to lock:;Choisissez les caractéristiques pour verrouiller:
Restrict Access;Restreindre l'accès
Allow all the users by default:;Autoriser tous les utilisateurs par défaut:
the gender;Sexe
the first name;Prénom
the last name;Nom
the email address;Email
the password;Mot de passe
Access restricted to authorized members only;Accès réservé seulement aux membres
We are sorry but your account does not have enough permissions to access this page;Nous sommes désolés mais vous ne disposez pas des droits pour accéder à cette page
Padlock;Cadenas
