"An error occurred while saving your discount. Please fill in all fields";"Υπήρξε σφάλμα κατά την αποθήκευση της έκπτωσής σας. Παρακαλούμε συμπληρώστε όλα τα πεδία"
"Are you sure you want to use this discount?";"Είστε σίγουροι ότι θέλετε να χρησιμοποιήσετε αυτή την έκπτωση?"
"Closed discounts";"Ανενεργές εκπτώσεις"
"Create a new discount";"Δημιουργία νέας έκπτωσης"
"Delete this discount?";"Θέλετε να διαγράψετε αυτή την έκπτωση?"
"Discount successfully deleted";"Η έκπτωση διεγράφη επιτυχώς"
"Discount successfully saved";"Η έκπτωση αποθηκεύτηκε επιτυχώς"
"Please select an end date greater than the current date.";"Παρακαλούμε επιλέξετε καταληκτική ημ/νία μεταγενέστερη της σημερινής."
"This discount is now used";"Η έκπτωση χρησιμοποιήθηκε"
"Valid until";"Έγκυρη έως"
"You have already use this discount";"Έχετε ήδη χρησιμοποιήσει αυτή την έκπτωση"
"You must be logged in to use a discount";"Πρέπει να είστε συνδεδεμένοι για να χρησιμοποιήσετε την έκπτωση"
"or illimited";"ή χωρίς όριο λήξης"
"use only once";"χρησιμοποιήστε μόνο μία φορά"
"you'll be able to remove this promotion later";"θα μπορείτε να αφαιρέσετε αυτή την έκπτωση αργότερα"
