"%s ago";"%s назад"
"An error occurred while saving your RSS feed";"Произошла ошибка при сохранении вашего потока"
"Display feed pictures whenever possible";"Экран поддерживает фотографии где это возможно"
"Enter the URL of this RSS feed";"Введите адрес этого RSS потока"
"Found feeds";"Найдены потоки"
"No RSS feed could be found";"RSS поток не может быть найден"
"RSS feed successfully saved";"RSS поток успешно сохранены"
"Show article";"Показать статью"
"day";"день"
"hour";"час"
"minute";"минута"
