"1. Download the app previewer:";"1. Скачать приложение предпросмотра:"
"2. Open the app and login";"2. Откройте приложение и логин"
"<b>File type:</b> %s";"<b>Тип файла:</b> %s"
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>Нажмите на плюс</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>и добавится пункт.</span>"
"Activated";"Активен"
"Add a new icon";"Добавить новый значок"
"Add pages";"Добавьте страницы"
"Additional options";"Дополнительные опции"
"An error occured while copying your app icon. Please check the icon, try to send it again and try again.";"Произошла ошибка при копировании значка приложения. Пожалуйста, проверьте значок, попробуйте отправить его еще раз и повторите попытку."
"An error occurred during the generation of your QRCode. Please try again later.";"Произошла ошибка при генерации вашего QR кода. Пожалуйста, повторите попытку позже."
"An error occurred while adding the option";"Произошла ошибка при добавлении опции"
"An error occurred while changing your layout.";"Произошла ошибка при смене макета."
"An error occurred while deleting the option";"Произошла ошибка во время удаления опции"
"An error occurred while deleting your picture";"Произошла ошибка во время удаления вашей фотографии"
"An error occurred while editing file (%s).";"Произошла ошибка при редактировании файла (%s)."
"An error occurred while loading";"Произошла ошибка при загрузке"
"An error occurred while saving the application. Please try again later.";"Произошла ошибка при сохранении приложения. Пожалуйста, повторите попытку позже."
"An error occurred while saving your colors.";"Произошла ошибка при сохранении ваших цветов"
"An error occurred while saving your page name.";"Произошла ошибка при сохранении имени вашей страницы"
"An error occurred while saving. The selected icon is not valid.";"Произошла ошибка при сохранении. Выбранный значок не является действительным."
"An error occurred while sorting your pages. Please try again later.";"Произошла ошибка при сортировке страниц. Пожалуйста, повторите попытку позже."
"Analytics";"Аналитика"
"Android APK Generation";"Андроид APK генератор"
"Android Version";"Версия Андроида"
"App Store Icon";"App Store иконка"
"Apple's Information";"Информация от Apple"
"Application name";"Название программы"
"Are you sure you want to remove this application?";"Вы уверены, что хотите удалить это приложение?"
"At least 200 characters in the description";"По крайней мере должно быть 200 символов в описании"
"At least, 4 pages in the application";"По крайней мере должны быть 4 страницы в приложении"
"Audio";"Аудио"
"Average by customer";"Средняя заказчиком"
"Book";"Книга"
"Bundle Id";"Пакеты  Id"
"Business";"Бизнес"
"Buy one, get one!";"Купите один, получите один!"
"Catalogs";"Каталог"
