"%s – Your new password";"％s - 您的新密码"
"A request to reset your password has been made to log in to your administration panel.";"请求重置您的密码已登录到你的管理面板。"
"Admin successfully deleted";"管理员删除成功"
"An error occurred while saving. The country is not valid.";"同时节省发生错误。该国是无效的。"
"Are you sure you want to delete this application?";"你确定你要删除这个应用程序？"
"Change my password";"修改我的密码"
"Confirm your password";"确认密码"
"Create a new application";"创建一个新的应用程序"
"Create a new user";"创建一个新用户"
"Created At";"在创建"
"Created at %s";"创建％s的"
"Do not hesitate to give us your feedback by sharing your needs:";"不要犹豫，分享您的需求给我们您的反馈意见："
"Edit the account ""%s”";"编辑帐户“％s”"
"Edit the user %s";"编辑％s用户"
"Enjoy!";"享受！"
"Find some advices here:";"找到一些建议在这里："
"Here are your credentials, keep them preciously:";"这里有您的凭据，让他们珍贵："
"List of admin accounts";"的管理员帐户列表"
"List of my accounts";"我的帐户列表"
"List of your users";"你的用户列表"
"Log-in As";"登录在作为"
"My Applications";"我的应用"
"My information";"我的信息"
"Need some help?";"需要一些帮助？"
"Please enter a valid email address.";"请输入有效的电子邮件地址。"
"Please, enter an application name";"请输入一个应用程序名称"
"Ready to create your own apps?";"准备创建自己的应用程序？"
"Sign up";"报名"
"Thanks for choosing us!";"感谢您选择我们！"
"The Support Team";"支持团队"
"The password and the confirmation does not match.";"密码并确认不匹配。"
"The password must be at least 6 characters.";"密码必须至少6个字符。"
"We are sorry but this email address is already used.";"很抱歉，这个电子邮件地址已经被使用。"
"Welcome!";"欢迎！"
"You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"你会爱上它！由于我们有效的功能，你就可以在你的名字创造伟大的移动应用程序，在几分钟之内。"
"You can't delete the main account";"您不能删除主帐户"
"You don't have any users yet";"你没有任何的用户还"
"Your credentials";"您的凭据"
"Your login:";"您登录："
"Your password:";"密码："
"API Keys";"API密钥"
"Api Keys";"API密钥"
"Api Keys successfully saved";"API密钥存放不当"
"1. Download the app previewer:";"1.下载应用程序的预览："
"2. Open the app and login";"2.打开应用程序，并输入"
"<b>File type:</b> %s";"<b>文件类型：</b>的％s"
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>点击 <button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>添加项目</span>"
"Activated";"活性"
"Add a new icon";"添加一个新的图标"
"Add pages";"添加页面"
"An error occured while copying your app icon. Please check the icon, try to send it again and try again.";"在复制的应用程序图标时发生错误。请检查该图标，重新尝试发送，然后再试一次。"
"An error occurred during the generation of your QRCode. Please try again later.";"同时生成QR码时发生错误。请稍后再试。"
"An error occurred while adding the option";"出现错误添加选项"
"An error occurred while changing your layout.";"未能改变它的设计。"
"An error occurred while deleting the option";"有一个错误删除的选项"
"An error occurred while deleting your picture";"而删除你的形象发生了错误"
"An error occurred while editing file (%s).";"编辑文件（ ％ S）时发生错误。"
"An error occurred while loading";"有同时加载错误"
"An error occurred while saving the application. Please try again later.";"有一个错误保存应用程序。请稍后再试。"
"An error occurred while saving your colors.";"有一个错误节省你的颜色。"
"An error occurred while saving your page name.";"有一个错误保存您的页面名称。"
"An error occurred while saving. The selected icon is not valid.";"有一个错误的节省。所选择的图标是无效的。"
"An error occurred while sorting your pages. Please try again later.";"目前在订购页面错误。请稍后再试。"
"Analytics";"Analytics（分析）"
"Android APK Generation";"新一代的Android APK"
"Android Version";"Android版"
"App Store Icon";"图标苹果商店"
"Apple's Information";"Apple资讯"
"Application name";"应用程序名称"
"Are you sure you want to remove this application?";"你确定你要删除这个应用程序？"
"At least 200 characters in the description";"在描述中至少有200个字符"
"At least, 4 pages in the application";"在应用程序中至少有4个功能"
"Average by customer";"平均每个客户"
"Bundle Id";"包ID"
"Buy one, get one!";"买一赠一！"
"Certificate";"证书"
"Change your";"变化"
"Change your template";"改变你的模板"
"Change your<br /><span>picture</span>";"变化<br /><span>图片</span>"
"Checking CNAME configuration:";"检查CNAME配置："
"Choose your design";"选择您的设计"
"Choose a <br /><span class=""bold"">picture</span>";"选择一个 <br 7><span class=”bold”>图片</span>"
"Choose a country";"选择一个国家"
"Choose a font family";"选择字体系列"
"Choose your colors";"选择颜色"
"Choose your country";"选择您的国家"
"Choose your font style";"选择你的字体样式"
"Choose your homepage image";"选择你的形象主页"
"Choose your icons color";"选择你的彩色图标"
"Choose your layout";"选择演示文稿"
"Choose your template";"选择您的模板"
"Click here to download the source code:";"点击此处下载源代码："
"Click here to send your certificate";"点击这里给我您的证书"
"Colors";"颜色"
"Dashboard icon";"应用程序图标"
"Deactivated";"离"
"Delete this page?";"删除此页？"
"Design";"设计"
"Developer Accounts";"开发者帐户"
"Device Information";"设备信息"
"Discount zone description. Here your clients will be able to see the details of each discount";"折扣描述区域。在这里，客人可以查看每个优惠详情"
"Domain";"域"
"Domain name";"域名"
"Download";"下载"
"Download our app previewer";"下载我们的应用程序的预览"
"Drop your certificate here";"在这里放下你的证书"
"Edit my";"编辑我"
"Edit the application ""%s”";"编辑应用程序“％s”"
"Editor";"编辑"
"Extension not allowed, '%s' only";"不允许扩展'％s'的"
"Features";"功能"
"Fred W.";"弗雷德W."
"General Information";"一般信息"
"General information";"一般信息"
"Global visits";"全球意见"
"Google Play Icon";"图标谷歌播放"
"Google's Information";"谷歌信息"
"Here is our latest creation. What do you think?";"这是我们的最新创作。你有什么感想？"
"Homepage preview";"预览页面"
"I don't have a Google developer account and I want to create one";"不要有一个帐户谷歌开发者和想创建一个"
"I don't have an Apple developer account and I want to create one";"我没有苹果的开发者账户，并希望创建一个"
"I have an Apple developer account";"我有一个苹果开发者账户"
"I have an Google developer account";"我有一个开发者账户谷歌"
"I let you publish my application under your Apple developer account";"我让我的应用程序被发布在苹果开发者账户"
"I let you publish my application under your Google developer account";"我让我的应用程序在你的开发者帐户谷歌公布"
"Icons";"图标"
"Id";"ID"
"If you validate, your app's colors and background image will be replaced";"您的应用程序，如果确认，将被替换壁纸的颜色和"
"Installed application";"安装的应用程序"
"Key Password";"密钥密码"
"Keywords";"关键词"
"Last name:";"姓："
"Library icons";"图标库"
"List of my applications";"我的应用程序列表"
"List of your applications";"勾"
"Loading";"载入中"
"Lock the entire application";"阻止整个应用程序"
"Love it <3";"我喜欢 <3"
"Main";"主"
"Manage icons";"管理图标"
"Media";"媒体"
"Missing Information";"缺少信息"
"Mobile Source Codes";"移动源代码"
"Mobile source codes";"移动源代码"
"Mobile website information";"信息的手机网站"
"My QRCode";"我的QRCode的"
"My application in figures";"我的数字应用程序"
"One free coffee";"免费咖啡"
"Or go on your store<br />and look for ""Apps Company Previewer""";"或者去他们的店里看看\u003cbr /\u003e “应用程序公司预览”"
"Page name:";"页面名称："
"Percentage of returning customers";"谁返回客户的百分比"
"Please enter a correct URL for the %s store";"请输入正确的网址仓库％S"
"Please enter a subdomain.";"请输入一个子域。"
"Please enter a valid URL";"请输入有效的URL"
"Please enter a valid address";"请输入一个有效的地址"
"Please enter a valid mobile website address.";"请输入有效的移动网站。"
"Preview";"预览"
"Promote";"促进"
"Publication";"发布"
"Publish the application";"发布应用程序"
"Publish under our account";"张贴在我们自己"
"Ready ? Publish my app!";"准备好了吗？发表我的应用程序！"
"Recommanded size:";"推荐大小："
"Remove this page from this folder?";"从这个文件夹中删除此页面？"
"Scan this QR Code:";"扫描这个QR代码："
"Scan this QR Code:";"扫描这个QR代码："
"Secondary category";"子类别"
"Secondary category<br />(Optional)";"二级类别<br />（可选）"
"Send here your iOS certificate to enable the push notifications for this application.";"发送您的证书的iOS在这里，使这个应用程序推送通知。"
"Send you .pem certificate";"送你的.pem证书"
"Show the applications waiting for publication only.";"显示应用程序，只希望出版。"
"Startup image";"开机画面"
"Status";"状态"
"Store Password";"存储密码"
"Store URL";"商店网址"
"Stores Info";"购物信息"
"To be able to download source codes, please provide the following information:<br />";"下载源代码，请按照下列指示：<br />"
"The application's name cannot start with a number";"该应用程序的名称不能以数字开头"
"The Bundle Id is required";"包ID所需"
"The QR Code is not available at this moment";"QR码是在这个时候不可用"
"The application has been successfully saved";"该应用程序已成功保存"
"The application name";"该应用程序的名称"
"The description";"说明"
"The description must be at least 200 characters";"说明必须至少有200个字符"
"The desktop icon";"桌面图标"
"The entered bundle id is incorrect, it should be like: com.siberiancms.app";"进入包ID是不正确，应该是这样的： com.tuappmaker.app"
"The field is required";"它要求该字段"
"The file has been successfully uploaded";"该文件已成功上传"
"The following information are needed to download the source codes:<br />";"以下信息需要下载的源代码：<br />"
"The homepage image";"主页的图像"
"The key cannot be empty.";"关键不能为空。"
"The key is already used by another application.";"功能键已经由另一个应用程序。"
"The keywords";"关键字"
"The main category";"主要类别"
"The startup image";"开机画面"
"This application does not exist";"本申请中不存在"
"This application is visible on the front";"本申请是在前面可见"
"This option enables you to set the currency used in your app";"此选项允许您设置应用程序中使用的货币"
"This page will be displayed to mobile users to enable them to login and manage their account. It is automatically added when you use features which need user login.";"该页面显示移动用户，使他们能够访问和管理自己的帐户。当你使用需要用户登录功能，它会自动添加。"
"URL";"URL"
"URL Key";"关键的URL"
"Use into all of your application's pages";"使用应用程序的所有网页上"
"Used points";"二手点"
"User Information";"用户信息"
"Version";"版本"
"You already have sent a certificate.";"您已发送的证书。"
"You can download your QRCode by";"您也可以下载QRCode的："
"You don't have any applications yet";"你有没有应用程序还"
"You have already sent a certificate";"您已发送证书"
"You have sent a certificate.";"您发送了证书。"
"You haven't chosen any template yet";"它尚未选择一个模板"
"You may not delete a library icon";"你无法删除的图标库"
"You must have published your application to access this feature";"你应该已经张贴你的要求来访问此功能"
"Your CNAME is properly set";"您的CNAME配置是否正确"
"Your best customers";"你最好的客户"
"Your customers in figures";"其客户数据"
"Your mobile address should not contain special characters";"您的手机不应该包含特殊字符"
"Your pages";"其网页"
"iOS Certificate";"证书的iOS"
"iPad Retina:";"iPad的视网膜："
"iPhone 5 / 5S:";"iPhone 5 / 5S ："
"iPhone 6 Plus:";"iPhone 6加："
"iPhone 6:";"iPhone 6 ："
"iPhone Version";"IPhone版本"
"icon";"图标"
"logo";"徽标"
"times";"时"
"%d Unread Message";"％d 未读"
"%d Unread Messages";"％d 未读"
"Account";"帐户"
"Change the password";"更改密码"
"Click to mark as not read";"点击标记为未读"
"Click to mark as read";"点击标记为已读"
"Create a user";"创建用户"
"Edit the account ""%s""";"编辑帐户“％s”"
"Edit the user";"编辑用户"
"Enter your credentials:";"输入您的凭证："
"List of backoffice accounts";"后台帐户列表"
"List of the messages";"信息列表"
"Login to your backoffice interface";"输入您的后台界面"
"People who are allowed to access the backoffice";"谁有权的人来访问后台"
"Siberian CMS";"Siberian CMS"
"This account can't be deleted, it's the only one";"此帐户不能删除，是唯一"
"User successfully deleted";"用户成功删除"
"View Details";"查看详情"
"Your new password";"新密码"
"Your password";"您的密码"
"Booking details";"预订信息"
"Booking details:";"预订信息："
"Booking subject:";"主题预订："
"Comment:";"评论："
"Date and time";"日期和时间"
"Date and time:";"日期和时间："
"Email address:";"电子邮件地址："
"Enter the location name and contact email:";"输入位置和联系人的电子邮件的名称："
"First name / Last name";"名字/姓"
"Here are his personal information:";"您的个人资料："
"Name:";"姓名："
"Nom du lieu :";
"People number:";"人数："
"Phone number:";"电话号码："
"Please fill out the following fields: ";"请填写以下字段："
"Please fill out the following fields:<br />";"请填写以下信息：<br />"
"Please, choose a store";"请选择一个商店"
"Thank you for your request. We'll answer you as soon as possible.";"感谢您的要求。我们会尽快回复。"
"The booking information";"预约信息"
"The booking informations";"预订信息"
"The date and time of the booking";"日期和预订时"
"The number of people";"人数"
"You have received a message for the booking of";"他收到一条消息，从储备"
"Your phone number or email address";"您的手机号码或电子邮件地址"
"%s - All";"％s - 所有"
"Add a category";"添加类别"
"Add a format";"添加格式"
"All";"所有"
"An error occurred while loading your product.";"有一个错误装载的产品。"
"An error occurred while saving the category. Please try again later.";"有一个错误保存类别。请稍后再试。"
"An error occurred while saving the product. Please try again later.";"有一个错误保存产品。请稍后再试。"
"An error occurred while saving the set meal. Please try again later.";"有一个错误保存餐券。请稍后再试。"
"An error occurred while saving. One of your categories could not be identified.";"有一个错误的节省。它的一个类别不能被识别。"
"An error occurred while saving. One of your products could not be identified.";"有一个错误的节省。一个它的产品不能被识别。"
"Are you sure you want to delete this product?";"你确定你要删除这个项目吗？"
"Category";"类别"
"Choose a category";"选择一个类别"
"Choose a subcategory";"选择一个子类别"
"Click on a category to display sub-categories";"单击类别以显示子"
"Create a new product";"创建一个新的产品"
"Does this product have many formats?";"该产品是否有很多的格式？"
"Edit the";"编辑"
"Edit the product";"编辑产品"
"Format";"格式"
"Picture";"图像"
"Price";"价格"
"Product";"产品"
"Product formats";"产品格式"
"Product name";"产品名称"
"Rules";"规则"
"Set meal successfully deleted.";"食品券成功删除。"
"Set meal successfully saved.";"券成功保存顿饭。"
"Sub-category";"子目录"
"st";"ST"
"sub-category";"子类别"
".mp4 or .3gp format";"名为.3gp或.MP4格式"
"Add ";"添加在"
"Add sections:";"添加部分："
"Address:";"街道地址："
"Alignment:";"调整："
"An error occurred while saving your page.";"有一个错误保存页面。"
"Are you sure you want to delete this page?";"你确定要删除这个页面？"
"Display address";"展会地址"
"Display location button";"显示按钮的位置"
"Label";"标签"
"Label:";"标签："
"Large";"伟大"
"Loading picture:";"加载图像："
"Make a search or enter the Youtube Url:";"让搜索或输入YouTube的网址："
"Medium";"中位数"
"My Youtube video:";"我的YouTube视频："
"My video";"我的视频"
"No videos matching your selection";"不符合您的选择"
"Page successfully deleted";"页面移除正确"
"Page successfully saved";"网页保存成功"
"Podcast URL:";"播客的网址："
"Select a video type:";"选择一个类型的视频："
"Small";"小"
"Video URL:";"视频网址："
"Your Podcast:";"你的播客："
"An error occurred while deleting this answer. Please try again later.";"没能抑制这种反应。请稍后再试。"
"Create a news:";"创建一个新闻："
"Hide this info";"隐藏此信息"
"Information successfully deleted";"信息成功删除"
"Information successfully hidden";"隐藏信息成功"
"Information successfully saved";"信息正确保存"
"Information successfully shown";"资料显示成功"
"Insert a";"插入"
"It will be visible only after validation by our team.";"只有验证通过我们的团队后，这将是可见的。"
"My customers answers";"我提供反馈"
"Publishing date";"出版一年"
"Show this info";"显示此信息"
"There is no comment for this news";"没有这个故事的评论"
"You can't like more than once the same news";"你不能给喜欢不止一次在相同新闻"
"Your like has been successfully added";"你喜欢已经成功添加"
"Your message has been successfully saved.";"您的留言已成功保存。"
"An error occurred while saving your contact informations.";"有一个错误节省您的联系信息。"
"An error occurred while sending your request. Please try again later.";"有一个错误发送您的请求。请稍后再试。"
"And his phone number:";"和您的电话号码："
"Are you sure you want to remove the picture?";"你确定要删除的图像？"
"City";"城市"
"Contact information";"联系信息"
"Here is his email:";"您的电子邮件："
"Here is his message:";"您的留言："
"Please enter properly the following fields: <br />";"请正确输入以下字段：<br />"
"Twitter";"叽叽喳喳"
"Website";"现场"
"You have received a message from a contact:";"您收到联系人的信息："
"Your email";"你的电子邮件"
"Your message has been sent";"您的留言已发送"
"Your request";"您的要求"
"Zip code";"邮政编码"
"%s – Account creation";"％s - 创建帐户"
"%s – Your new password";"％s - 您的新密码"
"A request to reset your password has been made.";"已经有一个请求重置您的密码。"
"An error occurred while connecting to your Facebook account. Please try again later";"未能与Facebook帐户连接。请稍后再试。"
"Are you sure you want to remove this user?";"你确定要删除这个用户？"
"Change Password";"更改密码"
"Congratulations,";"恭喜你，"
"Create";"创建"
"Create a new user";"创建一个新用户"
"Create an account";"创建一个帐户"
"Customer";"顾客"
"Customers";"客户"
"Disconnect";"登出"
"Edit the user %s";"编辑％s用户"
