"<b>File types:</b> %s<br />";"<b>Tipi di file:</b> %s<br/>"
"Add";"Aggiungi"
"An error occurred during the process. Please try again later.";"Si è verificato un errore durante il processo. Per favore riprova più tardi."
"An error occurred while deleting your preview. Please try again later.";"Si è verificato un errore nella cancellazione della tua anteprima. Per favore riprova più tardi."
"An error occurred while saving your previews. Please try again later.";"Si è verificato un errore nel salvataggio della tua anteprima. Per favore riprova più tardi."
"Click here to send your image";"Clicca qui per inviare la tua immagine"
"Create a new preview";"Crea una nuova anteprima"
"Delete image";"Cancella l'immagine"
"Delete translation";"Cancella traduzione"
"Description";"Descrizione"
"Drag and drop images to reorder them.";"Trascina e rilascia le immagini per riordinarle."
"Drop your image here";"Inserisci la tua immagine qui"
"Edit the preview";"Modifica l'anteprima"
"Existing images :";"Immagini esistenti:"
