"Add a page";"Προσθέστε μια σελίδα"
"Click on";"Πατήστε κλίκ"
"Click on a page to add it to the folder";"Κάντε σε μία σελίδα για να την προσθέσετε στον φάκελο"
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Κάντε σε μία σελίδα για να την προσθέσετε στον φάκελο <span id=""folder_name"" class=""folder_name"">""%s""</span>"
"Close mobile display";"Κλείσιμο mobile προβολής"
"Delete this folder and all its subfolders?";"Διαγραφή αυτού του φακέλου και των περιεχομένων του?"
"Folder title is required";"Είναι υποχρεωτικός ένας τίτλος φακέλου"
"Folders";"Φάκελοι"
"Mobile display";"Mobile προβολή"
"New folder";"Νέος Φάκελος"
"Subtitle";"Υπότιτλος"
"You cannot add this feature";"Δεν μπορείτε να προσθέσετε αυτό το χαρακτηριστικό"
"You must first complete the current category creation process";"Πρέπει πρώτα να ολοκληρώσετε την διαδικασία δημιουργίας της τρέχουσας κατηγορίας"
"You will lose all unsaved changes, continue?";"Θα χάσετε όλες τις μη-αποθηκευμένες αλλαγές. Συνέχεια?"
"to add a folder.";"για να προσθέσετε έναν φάκελο."
