"%s - Your new password";"La tua nuova password"
"A request to reset your password has been made to log in to your administration panel.";"Una richiesta per reimpostare la password è stata fatta per accedere al pannello di amministrazione"
"Access Management";"Gestione accessi"
"An error occurred while saving. The country is not valid.";"Si è verificato un errore durante il salvataggio . Il paese non è valido ."
"Are you sure you want to delete this application?";"Sei sicuro di voler cancellare questa applicazione?"
"Can add pages";"Puoi aggiungere pagine"
"Change my password";"Cambia la mia password"
"Confirm your password";"Conferma la tua password"
"Create a new application";"Crea una nuova applicazione"
"Create a new user";"Crea un nuovo utente"
"Created At";"Creato il"
"Created at %s";"Creato da"
"Do not hesitate to give us your feedback by sharing your needs:";"Non esitate a darci il vostro feedback condividendo le vostre esigenze:"
"Edit the account ""%s""";"Modifica il tuo account"
"Edit the user %s";"Modifica il tuo profilo"
"Enjoy!";"Buon divertimento!"
"Find some advices here:";"Trova dei consigli qui:"
"Here are your credentials, keep them preciously:";"Qui ci sono le tue credenziali, conservale con cura"
"List of admin accounts";"Elenco admin accounts"
"List of my accounts";"Lista miei accounts"
"List of your users";"Lista dei tuoi users"
"Log-in As";"Login"
"Manage access";"Gestione accessi"
"My Applications";"Le mie applicazioni"
"My information";"Le mie informazioni"
"Need some help?";"Hai bisogno di aiuto?"
"Please enter a valid email address.";"Perfavore inserisci un indirizzo email valido"
"Please, enter an application name";"Perfavore inserisci il nome dell'applicazione"
"Ready to create your own apps?";"Sei pronto a creare le tue applicazioni?"
"Role";"Ruolo"
"Sign up";"Iscriviti"
"Thanks for choosing us!";"Grazie per averci scelto"
"The Support Team";"Il team di supporto"
"The password and the confirmation does not match.";"La password e la conferma non corrispondono"
"The password must be at least 6 characters.";"La password deve essere di almeno 6 caratteri"
"User successfully deleted";"User cancellato con successo"
"We are sorry but this email address is already used.";"Siamo spiacenti ma l'indirizzo e-mail è già utilizzato"
"Welcome!";"Benvenuto!"
"You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"Non potrai più farne a meno! Grazie alle efficaci caratteristiche, sarai in grado di creare applicazioni in pochissimi minuti, e senza una riga di codice!"
"You can't delete the main account";"Non puoi eliminare l'account principale"
"You don't have any users yet";"Non hai ancora nessun user"
"Your credentials";"Le tue credenziali"
"Your login:";"Il tuo login:"
"Your password:";"La tua password:"
"Zip Code";"CAP"
"Zip Code:";"CAP"
