An error occurred while deleting the event;Ocorreu um erro ao excluir o evento
An error occurred while loading this event;Ocorreu um erro ao carregar este evento
Beginning date:;Data de início:
Calendar successfully deleted;Calendário excluído com sucesso
Calendar's URL;Calendário's URL
Calendar's title;Título Calendário's
Change picture;Alterar imagem
Create a new event;Criar um novo evento
Custom Page;Personalizar página
Delete this calendar?;Deletar este calendário?
Delete this event?;Deletar este evento?
Ending date:;Data de conclusão:
Enter your calendar's title;Entrar com o título do calendário's
Event;Evento
Event successfully deleted;Evento deletado com sucesso
Event successfully saved;Evento salvo com sucesso
Event title:;Título evento:
Illustration;Ilustração
Max size: 2000x2000px - allowed formats: jpg & png;Tamanho Máx: 2000x2000px - formatos permitidos: jpg & png
Modify the event;Modificar o evento
RSVP;RSVP
RSVP URL:;RSVP URL:
Your Facebook page ID;ID da sua página do Facebook
"Your Facebook page ID <span class=""required-entry"">*</span> :";"ID de sua página no Facebook <span class=""required-entry"">*</span> :"
Your calendar is empty;Sua calendário está vazio
iCal;iCal
