"+ Add a track";"+添加歌曲"
"Add albums and tracks to the playlist:";"添加专辑和歌曲到播放列表："
"Are you sure you don't want to create an album for these tracks?";"当然，你不希望创建一个相册，这些歌曲？"
"Are you sure you don't want to create an album for this track?";"当然，你不希望创建一个相册的这首歌？"
"Are you sure you want to delete this album (this won't delete tracks)?";"你确定要删除此专辑（这不会删除歌曲） ？"
"Are you sure you want to delete this album?";"你确定要删除该相簿？"
"Are you sure you want to delete this playlist?";"你确定你要删除这个播放列表？"
"Are you sure you want to delete this track?";"你确定你要删除这首歌？"
"Artist:";"艺术家："
"Artist";"艺术家"
"Album";"专辑"
"Albums";"相册"
"Albums:";"专辑："
"An error occurred while deleting your album. Thanks for trying later.";"有一个错误删除的相册。请稍后再试。"
"An error occurred while deleting your playlist. Thanks for trying later.";"有一个错误删除播放列表。请稍后再试。"
"An error occurred while deleting your track. Thanks for trying later.";"有一个错误删除的歌曲。请稍后再试。"
"An error occurred while saving your playlist. Thanks for trying later.";"有一个错误保存播放列表。请稍后再试。"
"An error occurred while deleting you images gallery. Please try again later.";"同时删除图片库时发生错误。请稍后再试。"
"An error occurred while loading pictures. Please try later.";"有一个错误加载图像。请稍后再试。"
"An error occurred while loading videos. Please try later.";"有一个错误加载视频。请稍后再试。"
"An error occurred while saving your images gallery. Please try again later.";"有一个错误节省您的画廊。请稍后再试。"
"An error occurred while saving your videos gallery. Please try again later.";"有一个错误保存视频库。请稍后再试。"
"Audio";"音频"
"buy";"购买"
"Choose an album";"选择一个专辑"
"close";"关闭"
"Delete this gallery?";"删除这个画廊？"
"empty";"真空"
"Feed URL";"供稿网址"
"Feed URL <span class=""required-entry"">*</span> :";"Feed URL <span class=""required-entry"">*</span> :"
"from";"从"
"Gallery Name";"画廊名称"
"Gallery Name <span class=""required-entry"">*</span> :";"画廊名称:<span class=""required-entry"">*</span> :"
"hide";"隐藏"
"I'm listening to";"我在听"
"Images gallery has been saved successfully";"画廊已成功保存"
"Instagram";"Instagram的"
"Last update:";"最后更新："
"loop";"环"
"Maximum size : 2000*2000 px - Allowed filetypes : jpg and png";"最大尺寸： 2000 * 2000像素 - 允许的文件类型： JPG和PNG"
"music";"音乐"
"My pictures";"我的图片"
"next";"下一个"
"No album found";"没有唱片被发现"
"No artist found";"艺术家没有发现"
"No track found";"没有歌曲发现"
"on";"在"
"Parameter";"参数"
"Parameter/Feed Url";"参数/ RSS网址"
"pause";"暂停"
"Picasa";"Picasa的"
"Picture%s";"图像％S"
"play";"复制"
"PLAYER";"PLAYER"
"Playlist";"播放列表"
"Playlists";"播放列表"
"Playlist successfully saved.";"播放列表保存成功。"
"Podcast";"播客"
"previous";"前"
"Read all";"阅读"
"Required field";"必填项"
"Search/Url";"搜索/ URL"
"share";"分享"
"shuffle";"随机"
"The entered name is not a valid Instagram user.";"输入的名称不是一个有效的用户的Instagram 。"
"track";"歌"
"tracks";"歌曲"
"Track";"歌"
"Tracks";"歌曲"
"Type";"类型"
"URL (.mp3):";"URL（ .MP3 ） ："
"Videos gallery has been saved successfully";"影片库已成功保存"
"Vimeo";"Vimeo的"
