"%s - Customer Service";"%s - Servizio Clienti"
"20.00%";"20.00%"
"Add a format";"Aggiungi un formato"
"Add a picture";"Aggiungi un immagine"
"Add options";"Aggiungi un opzione"
"Add pictures";"Aggiungi immagine"
"Add to cart";"Aggiungi al carrello"
"Amount remaining:";"Resto dovuto al cliente:"
"Amount you will pay";"Importo pagato dal cliente alla consegna"
"An error occurred while cancelling. Please try again later.";"Si è verificato un errore durante la cancellazione. Per favore riprova più tardi."
"An error occurred while proceeding the payment. Please, try again later.";"Si è verificato un errore durante la procedura di pagamento. Per favore, riprovare più tardi."
"An error occurred while proceeding your order. Please, check the following information:";"Si è verificato un errore durante il processo d'ordine. Per favore, riprovare più tardi."
"Are you sure you want to close without saving";"Sei sicuro di voler chiudere senza salvare?"
"Are you sure you want to delete this category and all its subcategories?";"Sei sicuro di voler eliminare questa categoria e tutte le sue sottocategorie?"
"Are you sure you want to delete this store?";"Sei sicuro di voler eliminare questo store?"
"Are you sure you want to delete this tax?";"Sei sicuro di voler eliminare l'IVA?"
"Are you sure you want to remove this product?";"Sei sicuro di voler rimuovere il prodotto?"
"At least one option is required:";"Almeno un'opzione è necessaria"
"Calculate the change for the client";"Calcolare il cambo per il cliente"
"Cancel order";"Cancella ordine"
"Cancelled";"Annullato"
"Carry Out";"Spedizione"
"Cart";"Carrello"
"Cash";"Contanti"
"Category";"Categoria"
"Category successfully saved.";"Categoria salvata correttamente"
"Check";"Contrassegno"
"Choose a delivery method:";"Scegliere un metodo di consegna:"
"Choose a payment method:";"Scegliere un metodo di pagamento:"
"Choose a store:";"Scegliere uno store"
"Client";"Cliente"
"Client will pay";"Importo da pagare"
"Completed";"Completato"
"Connected Printers";"Stampanti collegate"
"Continue shopping";"Continua gli acquisti"
"Create a new options group";"Crea nuovo gruppo di opzioni"
"Create a new product";"Crea un nuovo prodotto"
"Create a new tax";"Crea ua nuova tassa"
"Create a store";"Crea uno store"
"Credit Card by phone";"Carta di credito smartphone"
"Credit card (pay upon pickup or delivery)";"Carta di credito (pagamento sul ritiro o la consegna)"
"Customer";"Cliente"
"Customer Service";"Servizio cliente"
"Delete";"Cancella"
"Delivery";"Consegna"
"Delivery Fees";"Spese di consegna"
"Delivery Method";"Metodo di Spedizione"
"Delivery area";"Area di consegna"
"Delivery fees";"Spese di consegna"
"Delivery fees:";"Spese di consegna:"
"Delivery methods";"Metodi di consegna"
"Delivery methods:";"Metodi di consegna:"
"Delivery radius";"Raggio di consegna"
"Delivery radius:";"Raggio di consegna:"
"Delivery time";"Tempo per la consegna"
"Delivery time:";"Tempo per la consegna:"
"Details";"Dettagli"
"Done";"Fatto"
"Duplicate this product";"Duplica questo prodotto"
"Edit a store";"Modifica un negozio"
"Edit the options group %s";"Modifica il gruppo di opzioni %s"
"Edit the product %s";"Modifica il prodotto %s"
"Edit the tax %s";"Modifica l'IVA %s"
"Format";"Formato"
"Format:";"Formato:"
"Free delivery starting from";"Consegna gratuita a partire da"
"Free delivery starting from:";"Consegna gratuita a partire da:"
"From";"Da"
"Here is the detail of the order";"Ecco i dettagli dell'ordine"
"Here is the detail of your order";"Ecco i dettagli dell'ordine"
"Hours of operation";"Orari di apertura"
"Hours of operation:";"Orari di apertura:"
"I will pay";"Da pagare"
"In store";"In negozio"
"Meal Voucher";"Buono pasto"
"Minimum order";"Ordine minimo"
"Minimum order:";"Ordine minimo:"
"My Cart";"Il mio carrello"
"My cart is empty";"Il mio carrello è vuoto"
"My categories";"Le mie categorie"
"My information";"Le mie informazioni"
"My orders";"I miei ordini"
"My product's categories";"Le mie categorie di prodotti"
"My product's options";"Le mie opzioni di prodotti"
"My products";"I miei prodotti"
"My stores";"Il mio negozio"
"My taxes";"Le mie tasse"
"Name of the options group:";"Il nome delle gruppo di opzioni:"
"New order from the application";"Un nuovo ordine dall'applicazione"
"Number";"Numero"
"Option name";"Nome opzione"
"Option name:";"Nome opzione:"
"Options";"Opzioni"
"Options group successfully deleted";"Gruppo di opzioni eliminato correttamente"
"Options group successfully saved";"Gruppo di opzioni salvato correttamente"
"Order %s cancelled";"Ordine %s cancellato"
"Order Number";"Numero ordine"
"Order confirmation";"Conferma ordine"
"Order details";"Dettagli ordine"
"Order successfully cancelled";"Ordine cancellato con successo"
"Order successfully saved";"Ordine salvato correttamente"
"Orders";"Ordini"
"Paid";"Pagato"
"Paid by the client:";"A carico del cliente :"
"Password";"Password"
"Password:";"Password:"
"Payment";"Pagamento"
"Payment Method";"Metodo di Pagamento"
"Payment methods:";"Metodi di pagamento:"
"Paypal";"Paypal"
"Pending payment";"Pagamento in attesa"
"Picture";"Immagine"
"Please choose a delivery method";"Scegli un metodo di spedizione"
"Please choose a payment method";"Scegli un metodo di pagamento"
"Please, enter an email address for the store %s";"Inserisci un indirizzo email per lo store %s"
"Price";"Prezzo"
"Price: %s";"Prezzo: %s"
"Printer successfully saved";"Stampante salvata con successo"
"Proceed";"Procedi"
"Product";"Prodotto"
"Product formats";"Formati del prodotto"
"Product name";"Nome prodotto"
"Product name:";"Nome prodotto:"
"Product successfully duplicated";"Prodotto duplicato correttamente"
"Product successfully saved";"Prodotto salvato correttamente"
"Qty";"Qt"
"Qty: %s";"Qt: %s"
"Radius in Km";"Raggio in km"
"Remaining amount due";"Restante importo dovuto"
"Remaining due";"Resto dovuto"
"Review";"Recensione"
"Settings";"Impostazioni"
"Settings successfully saved";"Configurazione salvata con successo"
"Show search fields on product list ?";"Vuoi mostrare la barra di ricerca nel catalogo prodotti?"
"Signature";"Signature"
"Signature:";"Signature:"
"Some mandatory fields are empty.";"Alcuni campi obbligatori sono vuoti ."
"Sorry we can't proceed to deliver your order. It has been canceled.";"Siamo spiacenti ma non possiamo procedere con il tuo ordine . Esso è stato annullato ."
"Status";"Stato"
"Store information";"Informazioni store"
"Store name";"Nome negozio"
"Store name:";"Nome negozio:"
"Store successfully deleted";"Store eliminato correttamente"
"Store successfully saved";"Store salvato correttamente"
"Stores";"Negozi"
"Subtotal";"Totale parziale"
"Tax";"Tassa"
"Tax name";"Nome tassa"
"Tax name:";"Nome tassa:"
"Tax rate";"Valore tassa"
"Tax rate:";"Valore tassa:"
"Tax successfully deleted";"Tassa eliminata correttamente"
"Tax successfully saved";"Tassa salvata correttamente"
"Tax:";"Tassa:"
"Thank you!";"Grazie"
"The clients calculate the change:";"Permetti al cliente di inserire il taglio di banconote con cui paga:"
"The delivery method";"Metodo di Spedizione"
"The following options are required:<br />%s";"Sono richieste le seguenti opzioni:<br />%s"
"The option %s is required";"L'opzione %s è richiesta"
"The payment has been cancelled, something wrong happened? Feel free to contact us";"Il pagamento è stato annullato, qualcosa non è andato a buon fine? Non esitate a contattarci"
"The payment method";"Metodo di Pagamento"
"Time in minutes";"Tempo in minuti"
"Total";"Totale"
"Total Excl. Tax";"Totale escluso IVA"
"Total Tax";"Totale IVA"
"Total: %s";"Totale: %s"
"Unable to proceed to checkout the minimum order amount is %s";"Impossibile procedere alla cassa, l'importo di ordine minimo è di %s"
"Unit Price";"Prezzo unitario"
"Unit price";"Prezzo unitario"
"Username";"Username"
"Username:";"Username"
"Waiting for payment";"In attesa di pagamento"
"We apologize but the payment method %s is currently not available";"Ci scusiamo ma il metodo di pagamento %s al momento non è disponibile"
"We thank you for your order. A confirmation email has been sent";"Vi ringraziamo per il vostro ordine. Una email di conferma è stata inviata"
"You don't have any categories yet";"Non hai ancora categorie"
"You have a connected printer? Enter the email address";"Si dispone di una stampante collegata? Inserisci l'indirizzo e-mail"
"You have a connected printer? Enter the email address for each store";"Si dispone di una stampante collegata? Inserisci l'indirizzo e-mail per ogni store"
"Your address";"Indirizzo"
"Your email address";"Indirizzo email"
"Your firstname";"Nome"
"Your lastname";"Cognome"
"Your phone number";"Telefono"
"e.g., Sauces";"es. salse o taglie"
"without taxes";"Senza tasse"
