"%s by %s";"%s по %s"
"+ Add a track";"+ Добавить трек"
"Add albums and tracks to the playlist:";"Добавить альбомы и треки в плейлист:"
"Album";"Альбом"
"Albums";"Альбомы"
"Albums:";"Альбомы:"
"An error occurred while deleting you images gallery. Please try again later.";"Произошла ошибка во время удаления вашей галереи. Пожалуйста, повторите попытку позже."
"An error occurred while deleting your album. Thanks for trying later.";"Произошла ошибка во время удаления вашего альбома. Удалите пожалуйста позже."
"An error occurred while deleting your playlist. Thanks for trying later.";"Произошла ошибка во время удаления вашего плейлиста. Удалите пожалуйста позже."
"An error occurred while deleting your track. Thanks for trying later.";"Произошла ошибка во время удаления вашей дорожки. Удалите пожалуйста позже."
"An error occurred while loading pictures. Please try later.";"Произошла ошибка при загрузке фотографии. Пожалуйста, попробуйте позже."
"An error occurred while loading videos. Please try later.";"Произошла ошибка при загрузке видео. Пожалуйста, попробуйте позже."
"An error occurred while saving your images gallery. Please try again later.";"Произошла ошибка в процессе сохранения данных изображений. Пожалуйста, повторите попытку позже."
"An error occurred while saving your playlist. Thanks for trying later.";"Произошла ошибка при сохранении плейлиста. Сохраните пожалуйста позже."
"An error occurred while saving your videos gallery. Please try again later.";"Произошла ошибка при сохранении вашей видео галереи. Пожалуйста, повторите попытку позже."
"Are you sure you don't want to create an album for these tracks?";"Вы уверены, что не хотите создать альбом для этих треков?"
"Are you sure you don't want to create an album for this track?";"Вы уверены, что не хотите создать альбом для этого трека?"
"Are you sure you want to delete this album (this won't delete tracks)?";"Вы уверены, что хотите удалить этот альбом (это не приведет к удалению дорожки)?"
"Are you sure you want to delete this album?";"Вы уверены, что хотите удалить этот альбом?"
"Are you sure you want to delete this playlist?";"Вы уверены, что хотите удалить этот плейлист?"
"Are you sure you want to delete this track?";"Вы уверены, что хотите удалить этот трек?"
"Artist";"Исполнитель"
"Artist:";"Исполнитель:"
"Audio";"Аудио"
"Channel";"Канал"
"Choose an album";"Выберите альбом"
"Custom";"Лучшие"
"Delete this gallery?";"Удалить эту галерею?"
"Feed URL";"URL ленты"
"Feed URL <span class=""required-entry"">*</span> :";"Ленту URL <span class=""нужно добавить"">*</span> :"
"Gallery Name";"Имя галереи"
"Gallery Name <span class=""required-entry"">*</span> :";"Имя галереи <span class=""нужно добавить"">*</span> :"
"Group";"Группа"
"I'm listening to";"Я слушаю"
"Images gallery has been saved successfully";"Изображения галереи успешно сохранены"
"Instagram";"Instagram"
"Last update:";"Последнее обновление:"
"Maximum size : 2000*2000 px - Allowed filetypes : jpg and png";"Максимальный размер: 2000 * 2000 pi.  Допустимые типы файлов: JPG и PNG"
"My pictures";"Мои фотографии"
"No album found";"Альбом не найден"
"No artist found";"Исполнитель не найден"
"No track found";"Трек не найден"
"PLAYER";"Плеер"
"Parameter";"Параметр"
"Parameter/Feed Url";"Параметр / URL ленты"
"Picasa";"Picasa"
"Picture%s";"Фото%s"
"Playlist";"Плейлист"
"Playlist successfully saved.";"Плейлист успешно сохранён."
"Playlist title:";"Название плейлиста"
"Playlists";"Плейлист"
"Podcast";"Подкаст"
"Podcast URL (iTunes format)";"Подкаст URL (формат Itunes)"
"Read all";"Прослушать все треки"
"Required field";"Обязательное поле"
"Search/Url";"Поиск / URL"
"The entered name is not a valid Instagram user.";"Введенное имя не действительно, как пользователя Instagram."
"This element is not an album.";"Этот элемент не является альбомом"
"Track";"трек"
"Tracks";"треки"
"Type";"Тип"
"URL (.mp3):";"URL (.mp3):"
"Videos gallery has been saved successfully";"Видео галерея была успешно сохранена"
"Vimeo";"Vimeo"
"buy";"купить"
"close";"закрыть"
"empty";"пустой"
"from";"от"
"hide";"скрыть"
"loop";"по кругу"
"music";"музыка"
"next";"далее"
"on";"вкл"
"pause";"пауза"
"play";"проиграть"
"previous";"Превью"
"share";"участвовать"
"shuffle";"перемешать"
"track";"трек"
"tracks";"треки"
