"%s - Customer Service";"%s – Εξυπηρέτηση πελατών"
"20.00%";"20.00%"
"Add a picture";"Προσθήκη εικόνας"
"Add options";"Προσθήκη επιλογών"
"Add to cart";"Στο καλάθι"
"An error occurred while proceeding the payment. Please, try again later.";"Υπήρξε σφάλμα κατά την επεξεργασία της πληρωμής. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while proceeding your order. Please, check the following information:";"Υπήρξε σφάλμα κατά την επεξεργασία της παραγγελίας. Παρακαλούμε ελέγξτε τις παρακάτω πληροφορίες:"
"Are you sure you want to close without saving";"Κλείσιμο χωρίς αποθήκευση?"
"Are you sure you want to delete this category and all its subcategories?";"Είστε σίγουροι ότι θέλετε να διαγράψετε αυτή την κατηγορία και όλες τις υποκατηγορίες της?"
"Are you sure you want to delete this store?";"Είστε σίγουροι ότι θέλετε να διαγράψετε αυτό το κατάστημα?"
"Are you sure you want to delete this tax?";"Είστε σίγουροι ότι θέλετε να διαγράψετε αυτό τον φόρο?"
"Are you sure you want to remove this product?";"Είστε σίγουροι ότι θέλετε να διαγράψετε αυτό το προϊόν?"
"At least one option is required:";"Τουλάχιστον μία επιλογή είναι υποχρεωτική:"
"Cancelled";"Ακυρώθηκε"
"Carry Out";"Ταμείο"
"Cart";"Καλάθι"
"Cash";"Μετρητά"
"Category";"Κατηγορία"
"Category successfully saved.";"Η κατηγορία αποθηκεύτηκε επιτυχώς."
"Check";"Επιλογή"
"Choose a delivery method:";"Επιλέξτε τρόπο αποστολής:"
"Choose a payment method:";"Επιλέξτε τρόπο πληρωμής:"
"Choose a store:";"Επιλέξτε κατάστημα:"
"Completed";"Ολοκληρώθηκε"
"Connected Printers";"Συνδεδεμένοι εκτυπωτές"
"Continue shopping";"Συνέχεια αγορών"
"Create a new options group";"Δημιουργία νέας ομάδας επιλογών"
"Create a new product";"Δημιουργία νέου προϊόντος"
"Create a new tax";"Δημιουργία φόρου"
"Create a store";"Δημιουργία καταστήματος"
"Credit Card by phone";"Πιστωτική Κάρτα τηλεφωνικά"
"Credit card (pay upon pickup or delivery)";"Πιστωτική Κάρτα (πληρωμή κατά την παραλαβή)"
"Customer";"Πελάτης"
"Customer Service";"Εξυπηρέτηση Πελατών"
"Delivery";"Αποστολή"
"Delivery Fees";"Κόστος μεταφορικών"
"Delivery Method";"Τρόπος αποστολής"
"Delivery area";"Περιοχή παράδοσης"
"Delivery fees";"Κόστος μεταφορικών"
"Delivery fees:";"Κόστος μεταφορικών:"
"Delivery methods";"Τρόποι αποστολής"
"Delivery methods:";"Τρόποι αποστολής:"
"Delivery radius";"Ακτίνα αποστολής"
"Delivery radius:";"Ακτίνα αποστολής:"
"Delivery time";"Χρόνος παράδοσης"
"Delivery time:";"Χρόνος Παράδοσης:"
"Details";"Λεπτομέρειες"
"Edit a store";"Επεξεργασία καταστήματος"
"Edit the options group %s";"Επεξεργασία ομάδας ρυθμίσεων %s"
"Edit the product %s";"Επεξεργασία προϊόντος %s"
"Edit the tax %s";"Επεξεργασία φόρου %s"
"Free delivery starting from";"Δωρεάν μεταφορικά από"
"Free delivery starting from:";"Δωρεάν μεταφορικά από:"
"Here is the detail of the order";"Εδώ είναι οι λεπτομέρειες της παραγγελίας"
"Here is the detail of your order";"Εδώ είναι οι λεπτομέρειες της παραγγελίας σας"
"Hours of operation";"Ωράριο λειτουργίας"
"Hours of operation:";"Ωράριο λειτουργίας:"
"In store";"Στο κατάστημα"
"Meal Voucher";"Κουπόνι γεύματος"
"Minimum order";"Ελάχιστη παραγγελία"
"Minimum order:";"Ελάχιστη παραγγελία:"
"My Cart";"Το καλάθι μου"
"My cart is empty";"Το καλάθι μου είναι άδειο"
"My categories";"Οι κατηγορίες μου"
"My information";"Οι πληροφορίες μου"
"My orders";"Οι παραγγελίες μου"
"My product's categories";"Κατηγορίες προϊόντων"
"My product's options";"Οι επιλογές του προϊόντος μου"
"My products";"Τα προϊόντα μου"
"My stores";"Τα καταστήματά μου"
"My taxes";"Οι φόροι μου"
"Name of the options group:";"Ονομασία ομάδας ρυθμίσεων:"
"New order from the application";"Νέα παραγγελία από την εφαρμογή σας"
"Number";"Αριθμός"
"Option name";"Όνομα επιλογής"
"Option name:";"Όνομα επιλογής:"
"Options group successfully deleted";"Η ομάδα ρυθμίσεων διεγράφη επιτυχώς"
"Options group successfully saved";"Η ομάδα ρυθμίσεων αποθηκεύτηκε επιτυχώς"
"Order Number";"Αριθμός παραγγελίας"
"Order confirmation";"Επιβεβαίωση παραγγελίας"
"Order details";"Λεπτομέρειες παραγγελίας"
"Order successfully saved";"Η παραγγελία αποθηκεύτηκε επιτυχώς"
"Orders";"Παραγγελίες"
"Paid";"Εξοφλήθη"
"Password";"Κωδικός:"
"Password:";"Κωδικός"
"Payment";"Πληρωμή"
"Payment Method";"Τρόπος πληρωμής"
"Payment methods:";"Τρόποι πληρωμής:"
"Paypal";"PayPal"
"Pending payment";"Εκκρεμεί πληρωμή"
"Picture";"Εικόνα"
"Please choose a delivery method";"Παρακαλούμε επιλέξτε μια μέθοδο αποστολής"
"Please choose a payment method";"Παρακαλούμε επιλέξτε μια μέθοδο πληρωμής"
"Please, enter an email address for the store %s";"Παρακαλούμε, καταχωρήστε μια διεύθυνση email για το κατάστημα %s"
"Price";"Τιμή"
"Price: %s";"Τιμή: %s"
"Printer successfully saved";"Ο εκτυπωτής αποθηκεύτηκε επιτυχώς"
"Proceed";"Συνέχεια"
"Product";"Προϊόν"
"Product name";"Όνομα προϊόντος"
"Product name:";"Όνομα προϊόντος:"
"Product successfully saved";"Το προϊόν αποθηκεύτηκε επιτυχώς"
"Qty";"Ποσότητα"
"Qty: %s";"Ποσότητα: %s"
"Radius in Km";"Ακτίνα σε χλμ"
"Review";"Κριτική"
"Settings";"Ρυθμίσεις"
"Signature";"Υπογραφή"
"Signature:";"Υπογραφή:"
"Status";"Κατάσταση"
"Store information";"Πληροφορίες καταστήματος"
"Store name";"Όνομα καταστήματος"
"Store name:";"Όνομα καταστήματος:"
"Store successfully deleted";"Το κατάστημα διεγράφη επιτυχώς"
"Store successfully saved";"Το κατάστημα αποθηκεύτηκε επιτυχώς"
"Stores";"Καταστήματα"
"Subtotal";"Υποσύνολο"
"Tax";"Φόρος"
"Tax name";"Όνομα φόρου"
"Tax name:";"Όνομα φόρου:"
"Tax rate";"Συντελεστής φόρου"
"Tax rate:";"Συντελεστής φόρου:"
"Tax successfully deleted";"Ο φόρος διεγράφη επιτυχώς"
"Tax successfully saved";"Ο φόρος αποθηκεύτηκε επιτυχώς"
"Tax:";"Φόρος"
"Thank you!";"Ευχαριστούμε!"
"The delivery method";"Τρόπος αποστολής"
"The following options are required:<br />%s";"Αυτές οι επιλογές είναι υποχρεωτικές:<br />%s"
"The option %s is required";"Η επιλογή %s είναι υποχρεωτική"
"The payment has been cancelled, something wrong happened? Feel free to contact us";"Η πληρωμή ακυρώθηκε. Μήπως κάτι δεν πήγε καλά? Παρακαλούμε επικοινωνήστε μαζί μας."
"The payment method";"Η μέθοδος πληρωμής"
"Time in minutes";"Χρόνος σε λεπτά"
"Total";"Σύνολο"
"Total Excl. Tax";"Σύνολο προ ΦΠΑ"
"Total Tax";"Συνολικός φόρος"
"Total: %s";"Σύνολο: %s"
"Unit Price";"Τιμή μονάδος"
"Unit price";"Τιμή μονάδος"
"Username";"Όνομα χρήστη"
"Username:";"Όνομα χρήστη:"
"We apologize but the payment method %s is currently not available";"Συγνώμη, αλλά ο τρόπος πληρωμής %s δεν είναι διαθέσιμος αυτή τη στιγμή"
"We thank you for your order. A confirmation email has been sent";"Ευχαριστούμε για την παραγγελία σας. Ένα mail επιβεβαίωσης έχει σταλεί"
"You don't have any categories yet";"Δεν έχετε κάποια κατηγορία ακόμα"
"You have a connected printer? Enter the email address";"Έχετε συνδεδεμένο κάποιο εκτυπωτή? Συμπληρώστε το E-mail"
"You have a connected printer? Enter the email address for each store";"Έχετε συνδεδεμένο κάποιο εκτυπωτή? Συμπληρώστε το E-mail για κάθε κατάστημα"
"Your address";"Η διεύθυνση σας"
"Your email address";"E-mail"
"Your firstname";"Το όνομα σας"
"Your lastname";"Το επώνυμο σας"
"Your phone number";"Ο αριθμός του τηλεφώνου σας"
"e.g., Sauces";"π.χ., Σάλτσες"
