%s Subscription for %s;%s için üyelik %s
"<a href=""%s"">Click here</a> to go back to your applications list";"<a href=""%s"">Aplikasyonlar listenize dönmek için</a> tıklayınız"
Active;Aktif
An error occurred while processing your order. Please, try again later.;Sipariş işlenirken bir hata oluştu. Daha sonra tekrar deneyin.
An error occurred while saving. Please try again later;Kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz
An error occurred while saving. The selected subscription is not valid.;Kaydedilirken bir hata oluştu. Seçilen abonelik geçerli değil.
Are you sure you want to delete this plan?;Bu planı silmek istediğinizden emin misiniz?
Billing Address;Fatura adresi
"By checking this box, you agree <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">to our terms and conditions</a>";"Kutuyu işaretleyerek <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">koşul ve kurallarımızı kabul etmiş olursunuz</a>"
Charged to your client every month;Aylık ücretlendirin
Charged to your client every year;Yıllık ücretlendirin
Charged to your client when placing the order;Sipariş verildiğinde ücretlendir.
Choose the subscription that suits you best:;Size en uygun aboneliği seçin:
Create a new subscription;Yeni bir abonelik oluştur
Creation;Oluşturuluş
Describe here this plan. Will be displayed on the front end;Burada bu planı açıklayın. Ön uçta görüntülenir
Each price must be entered excluding tax;Her fiyat vergisi hariç girilmelidir
Edit the subscription %s;Aboneliği düzenleyin %s
Expiration;Bitiş
Expiration date;Bitiş tarihi
Give a name to this plan. Will be displayed on the front end;Bu plana bir isim verin. Ön uçta görüntülenir
List of your plans;Planlarınızın listesi
List of your subscriptions;Aboneleriinizin listesi
None;Hiçbiri
One-off;Kapalı
Order's details;Sipariş detayları
Payment;Ödeme
Payment Option;Ödeme seçenekleri
"Payment secured by <img src=""%s"" width=""100"" title=""Paypal"" />";"Güvenli ödeme <img src=""%s"" width=""100"" title=""Paypal"" />"
Please, enter a company;Bir şirket girin
Please, enter a country;Bir ülke girin
Please, enter a description.;Bir açıklama girin.
Please, enter a name.;İsim girin
Please, enter an address;Adres girin
Pricing;Ücretlendirme
Proceed to payment?;Ödeme yapılsın mı?
Recurring;Yenileme
Setup Fee;Kurulum Ücreti
Setup fee;Kurulum Ücreti
Subscription;Abonelik
Subscription successfully saved;Abonelik başarıyla kaydedildi
Subtotal;Alt toplam
Thanks!;Teşekkürler!
The monthly price is not a valid price (e.g. 12.34);Aylık fiyat geçerli bir fiyat değil (örneğin 12,34)
The setup fee is not a valid price (e.g. 12.34);Kurulum ücreti geçerli bir fiyat değil (örneğin 12,34)
The yearly price is not a valid price (e.g. 12.34);Yıllık fiyat geçerli bir fiyat değil (örneğin 12,34)
This subscription is active;Bu abonelik aktif
An error occurred while processing the payment. For more information, please feel free to contact us.;Ödeme işlenirken bir hata oluştu. Daha fazla bilgi için, bizimle temas kurmaktan çekinmeyin.
VAT Number;KDV Numarası
You already have a subscription for this application;Zaten bu uygulama için bir aboneliğiniz var
You don't have any subscriptions yet;Henüz hiç abonelikleri yok
You're almost done! After subscribing, we will publish your application on both the AppStore and the Google Play.;Neredeyse bitirdiniz! Abone olduktan sonra, App Store ve Google Play de hem yayınlayacağız.
Your VAT Number is not valid;KDV Numaranız geçerli değil
Your order has been canceled. If you need any help to place your order, please feel free to contact us.;Siparişiniz iptal edildi. Eğer sipariş için herhangi bir yardıma ihtiyacınız varsa, bizimle temas kurmaktan çekinmeyin lütfen.
Your order has been successfully paid. Your application will be published very soon.;Siparişiniz başarıyla ödenmiştir. Başvurunuz çok yakında yayınlanacaktır.
Your subscription must have at least one price;Aboneliğiniz en az bir fiyata sahip olmalıdır
price;fiyat
