"An error occurred while deleting the event";"Produït un error en suprimir l'esdeveniment"
"An error occurred while loading this event";"S'ha produït un error mentre carrega aquest esdeveniment"
"Beginning date:";"Data de començament:"
"Calendar successfully deleted";"Calendari correctament"
"Calendar's URL";"URL del calendari"
"Calendar's title";"Títol del calendari"
"Change picture";"Canvia la imatge"
"Create a new event";"Crear un nou esdeveniment"
"Custom Page";"Costum pàgina"
"Delete this calendar?";"Voleu suprimir aquest calendari?"
"Delete this event?";"Voleu suprimir aquest esdeveniment?"
"Ending date:";"Data d'acabament:"
"Enter your calendar's title";"Introdueixi el títol del calendari"
Event;Esdeveniment
"Event successfully deleted";"Esdeveniment correctament"
"Event successfully saved";"Esdeveniment salvat correctament"
"Event title:";"Títol de l'esdeveniment:"
Illustration;Il·lustració
"Max size: 2000x2000px - allowed formats: jpg & png";"Mida de Max: 2000x2000px - permesos els formats de: jpg & png"
"Modify the event";"Modificar l'esdeveniment"
RSVP;RSVP
"RSVP URL:";"URL DE CONFIRMAR LA SEVA ASSISTÈNCIA:"
"Your Facebook page ID";"El vostre ID de pàgina de Facebook"
"Your Facebook page ID <span class=""required-entry"">*</span> :";"El teu Facebook pàgina ID <span class=""required-entry""> *</span>:"
"Your calendar is empty";"El calendari està buit"
iCal;iCal
