"An error occurred while saving your discount. Please fill in all fields";"Beim Speichern des Rabatts ist ein Fehler aufgetreten. Bitte verfollständigen Sie alle Felder."
"Are you sure you want to use this discount?";"Sind Sie sicher, dass dieser Rabatt verwenden möchten?"
"Can only be used once";"kann nur einmal verwendet werden,"
"Closed discounts";"geschlossen Rabatte"
"Create a new discount";"Erstellen Sie einen neuen Rabatt"
"Delete this discount?";"Löschen Sie diesen Rabatt?"
Details;Beschreibung
"Discount successfully deleted";"Discount erfolgreich gelöscht"
"Discount successfully saved";"Discount erfolgreich gespeichert"
"End at";"Endet am"
On;Ein
"Please log in.";"Bitte melden Sie sich an"
"Please select an end date greater than the current date.";"Bitte wählen Sie ein Enddatum."
"This discount is now used";"Dieser Rabatt wird nun verwendet."
"Use this coupon";"Verwenden Sie diesen Coupon"
"Valid until";"Gültig bis"
"You have already use this discount";"Sie haben diesen Gutschein bereits eingelöst."
"You must be logged in to use a discount";"Sie müssen angemeldet sein, um einen Gutschein zu verwenden"
"or illimited";"oder ADSL"
"use only once";"Verwenden Sie nur einmal"
"you'll be able to remove this promotion later";"Sie werden dieses Angebot später entfernen"
