"Add a page";"Добавить страницу"
"Click on";"Нажмите на"
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Нажмите на странице, чтобы добавить его в папку <span id=""folder_name"" class=""folder_name"">""%s""</span>"
"Click on a page to add it to the folder";"Нажмите на странице, чтобы добавить его в папку"
"Close mobile display";"Закрыть моб. дисплей"
"Delete this folder and all its subfolders?";"Удалить эту папку и все вложенные папки?"
"Folder title is required";"Требуется дать название папки"
"Folders";"Папки"
"Mobile display";"Моб. дисплей"
"New folder";"Новая папка"
"Subtitle";"Подзаголовок"
"You cannot add this feature";"Вы не можете добавить эту функцию"
"You must first complete the current category creation process";"Вы должны сначала завершить текущий процесс по созданию категории"
"You will lose all unsaved changes, continue?";"Вы можете потерять все не сохраненные изменения!"
"to add a folder.";"добавить папку."
