"%d Unread Message";"%d Непрочитанное сообщение"
"%d Unread Messages";"%d Непрочитанные сообщения"
"Account";"Аккаунт"
"Change the password";"Изменить пароль"
"Click to mark as not read";"Нажмите, чтобы отметить, как не прочитанное"
"Click to mark as read";"Нажмите, чтобы отметить, как прочитанное"
"Create a user";"Создайте пользователя"
"Edit the account ""%s""";"Редактировать учетную запись ""%s"""
"Edit the user";"Редактирование пользователя"
"Enter your credentials:";"Введите учетные данные:"
"List of backoffice accounts";"Список Бэк-офис счетов "
"List of the messages";"Список сообщений"
"Login to your backoffice interface";"Войдите в свой интерфейс Бэк-офис"
"People who are allowed to access the backoffice";"Люди, которым позволили получить доступ к Бэк-офис"
"Siberian CMS";"Siberian CMS"
"This account can't be deleted, it's the only one";"Эта учетная запись не может быть удалена, она одна."
"User successfully deleted";"Пользователь успешно удален"
"View Details";"Просмотреть подробности"
"Your new password";"Ваш новый пароль"
"Your password";"Ваш пароль"
