"%s Update";"%s aggiornamento"
"All of your modules are up to date";"Tutti i moduli sono aggiornati"
"An update is available. Click here to download it.";"Un aggiornamento disponibile. Clicca qui per scaricarlo"
"Click here to send your module";"Clicca qui per inviare il tuo modulo"
"Drop your module here";"Trascina il tuo modulo qui"
"Host";"Host"
"Installing";"Installazione"
"Installing module <em><span id=""label_module""></span></em>";"Installazione modulo <em><span id=""label_module""></span></em>"
"Installing your module";"Installare il modulo"
"Module successfully installed";"Il modulo è installato correttamente"
"Module to upload";"Caricamento modulo"
"Modules Installation";"Installazione moduli"
"Modules successfully installed!";"Moduli installati correttamente"
"No directory provided";"Nessuna directory fornita"
"No module to install";"Nessun modulo da installare"
"No modules uploaded yet";"Non ci sono ancora moduli caricati"
"Or set the correct permissions to the following files and folders and try again:";"O impostare le autorizzazioni corrette per i seguenti file e cartelle e riprova:"
"Package Details";"Dettagli pacchetto"
"Path to your system";"Percorso al sistema"
"Please update the module to the %s version before installing this update.";"Si prega di aggiornare il modulo alla versione %s prima di installare questo aggiornamento."
"Please update your system to the %s version before installing this update.";"Si prega di aggiornare il sistema alla versione %s prima di installare questo aggiornamento."
"Please wait, we're installing your module";"Attendere prego, installazione modulo"
"Please, enter a name";"Inserisci un nome"
"Please, fill out all fields";"Per favore, compila tutti i campi"
"Port";"Porta"
"Processing the installation";"Processo di installazione"
"Retry";"Riprova"
"Select a module to upload";"Selezionare un modulo da caricare"
"Some files and folder are not writable. You can either provide your FTP access to install this update:";"Alcuni file e cartelle non sono scrivibili. O è possibile fornire l'accesso FTP per installare questo aggiornamento:"
"Some files don't have the right permissions and can't be updated";"Alcuni file non hanno le autorizzazioni necessarie e non possono essere aggiornati"
"The database connection failed. Please, check the entered information.";"La connessione al database non è riuscita. Prego, verificare le indicazioni riportate."
"The entered password confirmation does not match the entered password.";"La conferma password immessa non corrisponde alla password inserita."
"The file %s does not exist";"Il file %s non esiste"
"The file %s is not writable.";"Il file %s non è scrivibile"
"The folder %s is not writable. Please fix this issue and try again.";"La cartella %s non è scrivibile. Si prega di risolvere questo problema e riprovare."
"The following files and folders are not writable:";"I seguenti file e cartelle non sono scrivibili:"
"The following files and folders are not writable: <br /> - %s";"I seguenti file e cartelle non sono scrivibili: <br /> - %s"
"The installation of the module <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>";"L'installazione del modulo<span id = ""installation_failed_module_name""></ span>non è riuscita:<span id = ""installation_failed_because""></ span>"
"The package you have uploaded is invalid.";"Il pacchetto che hai caricato non è valido."
"This process may take few minutes, please do not refresh the page";"Questo processo potrebbe richiedere alcuni minuti, si prega di non aggiornare la pagina"
"This update is designed for the %s, you can't install it in your %s.";"Questo aggiornamento è progettato per il %s, non è possibile installarlo nel tuo %s."
"Unable to check for updates now. Please, try again later.";"Impossibile controllare gli aggiornamenti ora. Per favore, riprovare più tardi."
"Unable to connect to your FTP. Please check the connection information.";"Impossibile connettersi al vostro FTP. Controllare le informazioni di connessione."
"Unable to detect your site. Please make sure the entered path is correct.";"Impossibile rilevare il vostro sito. Si prega di verificare che il percorso inserito sia corretto."
"Unable to extract the archive.";"Impossibile estrarre l'archivio."
"Unable to fetch the update. Please, try again later.";"Impossibile recuperare l'aggiornamento. Per favore, riprovare più tardi."
"Unable to open the archive.";"Impossibile aprire l'archivio."
"Unable to open the file. Please, make sure that you sent a valid archive.";"Impossibile aprire il file. Per favore, assicurati che hai mandato un archivio valido."
"Upload a module";"Carica un modulo"
"Upload your modules";"Carica i tuoi moduli"
"Username";"Username"
"We are checking for updates. Please, do not refresh the page.";"Stiamo verificando la disponibilità di aggiornamenti . Per favore, non aggiornare la pagina ."
"You already have installed this template.";"Avete già installato questo template"
"You already have installed this update.";"È già stato installato l'aggiornamento."
"Your system is up to date.";"Il sistema è aggiornato."
