Lock the entire application?;Tüm uygulamayı kilitleyin?
Choose the features to lock:;Kilitlemek için özellikleri seçin:
Restrict Access;Erişim sınırla
Allow all the users by default:;Varsayılan olarak tüm kullanıcılara izin ver:
the gender;cinsiyet
the first name;ad
the last name;soyad
the email address;email 
the password;şifre
Access restricted to authorized members only;Erişim yetkili üyelere sınırlı
We are sorry but your account does not have enough permissions to access this page;Üzgünüz ama hesabınız bu sayfaya erişmek için yeterli izinlere sahip değil
