"%s Subscription for %s";"Abonnement von %s für %s"
"<a href=""%s"">Click here</a> to go back to your applications list";"<a href=""%s""> Klicken Sie hier</a>, um wieder auf Ihre Liste ""Anwendungen"""
Active;Aktive
"An error occurred while processing the payment. For more information, please feel free to contact us.";"Fehler bei der Verarbeitung der Zahlung. Für weitere Informationen wenden Sie sich bitte an uns wenden."
"An error occurred while processing your order. Please, try again later.";"Fehler bei der Abwicklung Ihrer Bestellung. Bitte, versuchen Sie es später erneut."
"An error occurred while saving. Please try again later";"Fehler beim Speichern. Bitte versuchen Sie es später noch einmal"
"An error occurred while saving. The selected subscription is not valid.";"Fehler beim Speichern. Das ausgewählte Abonnement ist nicht gültig."
"Are you sure you want to delete this plan?";"Bist du sicher, dass Sie diesen Plan löschen möchten?"
"Billing Address";Rechnungsadresse
"By checking this box, you agree <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">to our terms and conditions</a>";"Durch Aktivieren dieses Kontrollkästchens, stimmen Sie <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline""> unseren Allgemeinen Geschäftsbedingungen</a>"
"Charged to your client every month";"Zahlen für Ihre Kunden jeden Monat"
"Charged to your client every year";"Zahlen für Ihre Kunden jedes Jahr"
"Charged to your client when placing the order";"Zahlen für Ihre Kunden bei der Bestellung"
"Choose the subscription that suits you best:";"Wählen Sie das Abonnement, das Ihnen am meisten zusagt:"
"Create a new subscription";"Erstellen Sie ein neues Abonnement"
Creation;Erstellung
"Describe here this plan. Will be displayed on the front end";"Beschreiben Sie dieser Plan hier. Auf dem front-End erscheint"
"Each price must be entered excluding tax";"Jeder Preis muss eingegeben werden, zzgl. MwSt."
"Edit the subscription %s";"Bearbeiten Sie das Abonnement von %s"
Expiration;Ablauf
"Expiration date";Ablaufdatum
"Give a name to this plan. Will be displayed on the front end";"Geben Sie einen Namen für diesen Plan. Auf dem front-End erscheint"
"List of your plans";"Liste Ihrer Pläne"
"List of your subscriptions";"Liste Ihrer Abonnements"
None;Keine
One-off;Einmalige
"Order's details";"Die Bestelldetails"
Payment;Zahlung
"Payment Option";Zahlungsoption
"Payment secured by <img src=""%s"" width=""100"" title=""Paypal"" />";"Zahlung gesichert durch <img src=""%s"" width=""100"" title=""Paypal"" />"
"Please, enter a company";"Bitte geben Sie eine Firma"
"Please, enter a country";"Bitte geben Sie ein Land"
"Please, enter a description.";"Bitte geben Sie eine Beschreibung ein."
"Please, enter a name.";"Bitte geben Sie einen Namen."
"Please, enter an address";"Bitte geben Sie eine Adresse"
Pricing;Preise
"Proceed to payment?";"Fahren Sie mit Zahlung?"
Recurring;Wiederkehrende
"Setup Fee";Setup-Gebühr
"Setup fee";Setup-Gebühr
Subscription;Abonnement
"Subscription successfully saved";"Abonnement erfolgreich gespeichert"
Subtotal;Zwischensumme
Thanks!;"Vielen Dank!"
"The monthly price is not a valid price (e.g. 12.34)";"Der monatliche Preis ist keine gültige Preis (z.B. 12,34)"
"The setup fee is not a valid price (e.g. 12.34)";"Die Einrichtungsgebühr kostet nicht gültig (z.B. 12,34)"
"The yearly price is not a valid price (e.g. 12.34)";"Der jährliche Preis ist keine gültige Preis (z.B. 12,34)"
"This subscription is active";"Dieses Abonnement ist aktiv"
"VAT Number";Umsatzsteuer-Identifikationsnummer
"You already have a subscription for this application";"Sie haben bereits ein Abonnement für diese Anwendung"
"You don't have any subscriptions yet";"Sie noch alle Abonnements nicht"
"You're almost done! After subscribing, we will publish your application on both the AppStore and the Google Play.";"Sie sind fast fertig! Nach der Anmeldung veröffentlichen wir Ihre Anwendung auf den AppStore und die Google-spielen."
"Your VAT Number is not valid";"Ihre MwSt.-Nummer ist nicht gültig"
"Your order has been canceled. If you need any help to place your order, please feel free to contact us.";"Ihre Bestellung wurde abgebrochen. Benötigen Sie Hilfe zu Ihrer Bestellung, wenden Sie sich bitte an uns wenden."
"Your order has been successfully paid. Your application will be published very soon.";"Ihre Bestellung wurde erfolgreich bezahlt. Ihre Bewerbung wird sehr bald veröffentlicht."
"Your subscription must have at least one price";"Ihr Abonnement muss mindestens einen Preis haben."
price;Preis
