"%s – Account creation";"％s - 创建帐户"
"%s – Your new password";"％s - 您的新密码"
"A request to reset your password has been made.";"已经有一个请求重置您的密码。"
"An error occurred while connecting to your Facebook account. Please try again later";"未能与Facebook帐户连接。请稍后再试。"
"Are you sure you want to remove this user?";"你确定要删除这个用户？"
"Change Password";"更改密码"
"Congratulations,";"恭喜你，"
"Create";"创建"
"Create a new user";"创建一个新用户"
"Create an account";"创建一个帐户"
"Customer";"顾客"
"Customers";"客户"
"Disconnect";"登出"
"Edit the user %s";"编辑％s用户"
"First name";"名字"
"Forgot your password?";"忘记密码了吗？"
"Gender";"性别"
"Here are your credentials:";"这里有您的凭据："
"I accept the <u>privacy policy</u>";"我接受<u>隐私政策</u>"
"If you encounter any problems, do not hesitate to contact us:";"如果您有任何问题，请联系我们："
"Last name";"姓"
"Login:";"登录："
"Miss";"女士."
"Mr";"先生"
"Mrs";"女士"
"My Account";"我的账户"
"My application's users";"我的应用程序的用户"
"Old Password";"旧密码"
"Or with your account";"或与您的账户"
"Please enter your email address. We'll send you your password right now.";"请输入您的电子邮件地址。现在，我们将发送您的密码。"
"Please log in with your mobile phone";"请与您的手机登录"
"Privacy Policy";"隐私政策"
"See you soon,";"再见，"
"Show me in ranking";"显示我的排名"
"The old email address does not match the entered email address.";"上述的电子邮件地址不匹配的电子邮件地址输入。"
"This user can access the pages locked by the ""Locker"" feature";"此用户可以访问的网站阻止特征“访问”"
"This user is visible in ranking";"此用户是在排名可见"
"User";"用户"
"Users";"用户"
"User Information";"用户信息"
"We are sorry but the %s account is already linked to one of our customers";"很抱歉，但在％的账户已被链接到我们的客户之一"
"You have created your account. With this account, you will be able to enjoy great offers available in our application.";"您创建的帐户。有了这个帐户，您将能够享受伟大的交易可以在我们的应用程序。"
"Your account has been successfully saved";"您的帐户已成功保存"
