"Cancelled";"取消"
"Pending payment";"优秀"
"Paid";"付费"
"Completed";"完成"
"Paypal";"贝宝"
"Cash";"现金"
"Check";"检查"
"Meal Voucher";"餐票"
"Credit card (pay upon pickup or delivery)";"信用卡（工资在收集或交付的时间）"
"Credit Card by phone";"信用卡电话"
"In store";"店"
"Carry out";"带走"
"Delivery";"交货"
"Stores";"店"
"Are you sure you want to delete this store?";"你确定你要删除这家店？"
"My stores";"我的店"
"Delivery";"交货"
"Delivery methods:";"交货方式："
"Delivery radius:";"无线电交货："
"Delivery time:";"交货时间："
"Delivery fees:";"送货费："
"Free delivery starting from:";"送货免费从："
"Payment";"付款"
"Payment methods:";"付款方式："
"Create a store";"创建一个存储"
"Edit a store";"编辑商店"
"Please choose a delivery method";"请选择送货方式"
"Please choose a payment method";"请选择付款方式"
"Order confirmation";"订单确认"
"Customer Service";"顾客服务"
"My categories";"我的类别"
"My products";"我的产品"
"Orders";"订单"
"Settings";"设置"
"Are you sure you want to delete this category and all its subcategories?";"你确定你要删除这个类别及其所有子类别？"
"Are you sure you want to close without saving";"你确定要关闭不保存"
"My orders";"我的订单"
"Number";"号码"
"Status";"状态"
"Customer";"顾客"
"Total";"总"
"Product";"产品"
"Connected Printers";"连接打印机"
"You have a connected printer? Enter the email address for each store";"你有一台打印机连接？输入电子邮件地址，每个商店"
"You have a connected printer? Enter the email address";"你有一台打印机连接？输入电子邮件地址"
"Tax";"税"
"My taxes";"我的税"
"Are you sure you want to delete this tax?";"你确定你要删除这个税吗？"
"Are you sure you want to delete this store?";"你确定你要删除这家店？"
"Create a new product";"创建一个新的产品"
"Edit the product %s";"编辑产品％s"
"Product name:";"产品名称："
"Product name";"产品名称"
"Tax:";"税："
"Picture";"图像"
"Add a picture";"添加图像"
"My product's options";"我的产品选项"
"My product's categories";"我的产品类别"
"You don't have any categories yet";"你有没有类"
"Create a new options group";"创建一个选项组新"
"Edit the options group %s";"编辑选项组％s"
"Name of the options group:";"组名的选项："
"e.g., Sauces";"如酱"
"At least one option is required:";"要求至少有一个选项："
"Add options";"添加选项"
"Option name:";"项目名称："
"Option name";"选项名称"
"Details";"详细信息"
"Edit the tax %s";"编辑纳税％s"
"Create a new tax";"创建一个新的税收"
"Tax name:";"名税："
"Tax name";"计税"
"Tax rate:";"税率："
"20.00%";"21.00 ％"
"Store information";"存储信息"
"Store name:";"店铺名称："
"Store name";"公司名称"
"Hours of operation:";"营业时间："
"Hours of operation";"小时"
"Delivery fees";"送货费"
"Tax rate";"税率"
"Free delivery starting from";"从免费送货"
"Delivery area";"送货范围"
"Radius in Km";"收音机公里。"
"Delivery time";"交货时间"
"Time in minutes";"在几分钟时间"
"Minimum order:";"最小订货量："
"Minimum order";"最小订单"
"Username:";"用户名："
"Username";"用户名"
"Password:";"密码："
"Password";"密码"
"Signature:";"签名："
"Signature";"签名"
"Category";"类别"
"%s - Customer Service";"％s - 客户服务"
"New order from the application";"应用程序的新秩序"
"Category successfully saved.";"分类保存成功。"
"Options group successfully saved";"选项​​成功保存组"
"Options group successfully deleted";"集团成功删除选项"
"Product successfully saved";"产品成功保存"
"Order successfully saved";"为了成功保存"
"Please, enter an email address for the store %s";"请输入电子邮件地址，仓库％s"
"Printer successfully saved";"打印机成功保存"
"Tax successfully saved";"保存成功税"
"Tax successfully deleted";"成功删除税"
"Store successfully saved";"保持成功保存"
"Store successfully deleted";"保持成功删除"
"Cart";"购物车"
"My Cart";"购物车"
"My cart is empty";"您的购物车是空的"
"Continue shopping";"继续购物"
"Proceed";"继续"
"The option %s is required";"所需的％ s选项"
"The following options are required:<br />%s";"下列选项是必需的：<br /> ％s"
"My information";"我的信息"
"We apologize but the payment method %s is currently not available";"我们深表歉意，但付款方式％s是不可用"
"Review";"回顾"
"An error occurred while proceeding the payment. Please, try again later.";"有在付款错误。请稍后再试。"
"An error occurred while proceeding your order. Please, check the following information:";"而进到结束时发生错误。请查看以下信息："
"The payment has been cancelled, something wrong happened? Feel free to contact us";"付款已被取消，坏事发生？不要犹豫与我们联系"
"Are you sure you want to remove this product?";"你确定你要删除这个项目吗？"
"Thank you!";"谢谢！"
;
"Your firstname";"你的名字"
"Your lastname";"您的姓氏"
"Your email address";"您的电子邮件地址"
"Your phone number";"你的电话号码"
"Your address";"您的地址"
"The delivery method";"交货方式"
"The payment method";"支付"
;
;
"Unit price";"单价"
"Qty";"数量"
"Price";"价格"
"Price: %s";"价格： ％s"
"Qty: %s";"数量： ％s"
"Total: %s";"总计： ％s"
"Total";"总"
"Subtotal";"小计"
"Tax";"税"
"Delivery fees";"送货费"
"Total Excl. Tax";"合计不含税"
"We thank you for your order. A confirmation email has been sent";"我们感谢您的订单。确认邮件已发送"
"Choose a payment method:";"选择付款方式："
"Choose a store:";"选择商店："
"Choose a delivery method:";"选择投放方式："
;
"Here is the detail of your order";"这是您的订单的详细信息"
"Here is the detail of the order";"这里是订单的细节"
"Customer";"顾客"
"Order details";"该命令的细节"
"Delivery Method";"运输方式"
"Payment Method";"付款方式"
"Product";"产品"
"Unit Price";"单价"
"Qty";"数量"
"Total";"总"
"Subtotal";"小计"
"Delivery Fees";"送货费用"
"Total Excl. Tax";"合计不含税"
"Total Tax";"总税收"
