Booking details;Reserveringdetails
Booking details:;Reserveringdetails:
Booking subject:;Boeking betreft:
Comment:;Opmerkingen
Date and time;Datum en tijd
Date and time:;Datum en tijd:
Email address:;Emailadres:
Enter the location name and contact email:;Voer de locatienaam en contact email in:
First name / Last name;Voornaam / Achternaam
Here are his personal information:;Voici ses informations personnelles :
Name:;Naam:
Nom du lieu :;Vul naam in:
People number:;Aantal personen:
Phone number:;Telefoonnummer
Please fill out the following fields: ;Vul de volgende velden in:<br />
Please fill out the following fields:<br />;Vul de volgende velden in:<br />
Please, choose a store;Kies een winkel
Thank you for your request. We'll answer you as soon as possible.;Bedankt voor uw verzoek. Wij beantwoorden deze zo spoedig mogelijk.
The booking information;Reserveringsinformatie
The booking informations;Reserveringsinformatie
The date and time of the booking;Datum en tijd van de reservering
The number of people;Aantal personen
You have received a message for the booking of;U heeft een bericht van de boeking van de ontvangen
Your phone number or email address;Uw telefoonnummer of emailadres
