"%s - Customer Service";"%s - Service clients"
"20.00%";"20.00%"
"Add a picture";"Ajouter une photo"
"Add options";"Ajouter des options"
"Add to cart";"Ajouter au panier"
"An error occurred while proceeding the payment. Please, try again later.";"Une erreur s'est produite lors du paiement. S'il vous plaît, réessayez plus tard."
"An error occurred while proceeding your order. Please, check the following information:";"Une erreur se est produite lors de votre commande. S'il vous plaît, vérifiez les informations suivantes:"
"Are you sure you want to close without saving";"Êtes-vous sûr de vouloir fermer sans enregistrer"
"Are you sure you want to delete this category and all its subcategories?";"Êtes-vous sûr de vouloir supprimer cette catégorie et toutes ses sous-catégories?"
"Are you sure you want to delete this store?";"Êtes-vous sûr de vouloir supprimer ce magasin?"
"Are you sure you want to delete this tax?";"Êtes-vous sûr de vouloir supprimer cette taxe?"
"Are you sure you want to remove this product?";"Êtes-vous sûr de vouloir supprimer ce produit?"
"At least one option is required:";"Au moins une option est requise:"
"Cancelled";"Annulé"
"Carry Out";"effectuer"
"Cart";"panier"
"Cash";"espèces"
"Category";"catégorie"
"Category successfully saved.";"Catégorie sauvegardé avec succès."
"Check";"chèque"
"Choose a delivery method:";"Choisissez une méthode de livraison:"
"Choose a payment method:";"Choisissez une méthode de paiement:"
"Choose a store:";"Choisissez une boutique:"
"Completed";"terminé"
"Connected Printers";"imprimantes connectées"
"Continue shopping";"Poursuivre les achats"
"Create a new options group";"Créer un nouveau groupe d'options"
"Create a new product";"Créer un nouveau produit"
"Create a new tax";"Créer une nouvelle taxe"
"Create a store";"Créer un magasin"
"Credit Card by phone";"Carte de crédit par téléphone"
"Credit card (pay upon pickup or delivery)";"Carte de crédit (payer au magasin ou à la livraison)"
"Customer";"client"
"Customer Service";"Service client"
"Delivery";"livraison"
"Delivery Fees";"Frais de livraison"
"Delivery Method";"Mode de livraison"
"Delivery area";"Zone de livraison"
"Delivery fees";"frais de livraison"
"Delivery fees:";"frais de livraison:"
"Delivery methods";"Modes de livraison"
"Delivery methods:";"Modes de livraison:"
"Delivery radius";"Rayon de livraison"
"Delivery radius:";"Rayon de livraison:"
"Delivery time";"Délai de livraison"
"Delivery time:";"Délai de livraison:"
"Details";"détails"
"Edit a store";"Modifier un magasin"
"Edit the options group %s";"Modifier le groupe d'options %s"
"Edit the product %s";"Modifier le produit %s"
"Edit the tax %s";"Modifier la taxe %s"
"Free delivery starting from";"Livraison gratuite à partir de"
"Free delivery starting from:";"Livraison gratuite à partir de:"
"Here is the detail of the order";"Voici le détail de la commande"
"Here is the detail of your order";"Voici le détail de votre commande"
"Hours of operation";"Heures d'ouverture"
"Hours of operation:";"Heures d'ouverture:"
"In store";"en magasin"
"Meal Voucher";"Titre restaurant"
"Minimum order";"minimum de commande"
"Minimum order:";"minimum de commande:"
"My Cart";"Mon panier"
"My cart is empty";"Mon panier est vide"
"My categories";"Mes catégories"
"My information";"Mes informations"
"My orders";"Mes commandes"
"My product's categories";"Les catégories de mon produit"
"My product's options";"Les options de mon produit"
"My products";"Mes produits"
"My stores";"Mes magasins"
"My taxes";"Mes taxes"
"Name of the options group:";"Nom du groupe d'options:"
"New order from the application";"Nouvelle commande de l'application"
"Number";"nombre"
"Option name";"Nom de l'option"
"Option name:";"Nom de l'option:"
"Options group successfully deleted";"Groupe Options supprimé avec succès"
"Options group successfully saved";"Groupe Options enregistré avec succès"
"Order Number";"Numéro de Commande"
"Order confirmation";"Confirmation de commande"
"Order details";"détails de la commande"
"Order successfully saved";"Commande enregistré avec succès"
"Orders";"commandes"
"Paid";"payé"
"Password";"mot de passe"
"Password:";"mot de passe:"
"Payment";"paiement"
"Payment Method";"Mode de paiement"
"Payment methods:";"Mode de paiement:"
"Paypal";"Paypal"
"Pending payment";"paiement en attente"
"Picture";"image"
"Please choose a delivery method";"Choisir un mode de livraison"
"Please choose a payment method";"choisir un mode de paiement"
"Please, enter an email address for the store %s";"entrez une adresse email pour le magasin %s"
"Price";"prix"
"Price: %s";"prix: %s"
"Printer successfully saved";"Imprimante enregistrée avec succès"
"Proceed";"Procéder"
"Product";"produit"
"Product name";"Nom du produit"
"Product name:";"Nom du produit:"
"Product successfully saved";"Produit enregistré avec succès"
"Qty";"Quantité"
"Qty: %s";"Quantité: %s"
"Radius in Km";"Rayon en km"
"Review";"Vérification"
"Settings";"paramètres"
"Signature";"Signature"
"Signature:";"Signature:"
"Status";"Status"
"Store information";"Informations du magasin"
"Store name";"Nom du magasin"
"Store name:";"Nom du magasin:"
"Store successfully deleted";"magasin supprimé avec succès"
"Store successfully saved";"magasin correctement enregistré"
"Stores";"magasins"
"Subtotal";"total"
"Tax";"Taxe"
"Tax name";"Nom de la Taxe"
"Tax name:";"Nom de la Taxe:"
"Tax rate";"Taux de la Taxe"
"Tax rate:";"Taux de la Taxe:"
"Tax successfully deleted";"Taxe supprimée avec succès"
"Tax successfully saved";"Taxe enregistrée avec succès"
"Tax:";"Taxe:"
"Thank you!";"Merci!"
"The delivery method";"méthode de livraison"
