Additionnal Information;Ek bilgi
And a radius (in Km):;Ve bir yarıçap (Km):
Android;Android
Creation date;Oluşturma tarihi
Enter a location:;Bir lokasyon girin:
GCM Key;GCM Anahtarı
I want to send it;Göndermek istiyorum
Keys successfully saved;Anahtar başarıyla kaydedildi
Message;Mesaj
Message:;Mesaj:
Pending;Bekliyor
Push Notifications;Bildirim gönderme
Push Notifications Settings;Bildirim gönderme ayarları
Radius;Yarıçap
Send to a specific location;Özel bir lokasyona gönderin
Send to all my users;Tüm kullanıcılarıma yolla
Sender ID;Yollayan ID
Sending date;Yollama tarihi
The duration limit must be higher than the sent date;Gönderme süresi gönderme tarihinden sonraki bir tarih olmalıdır
Your app must be published to send a push notification.;Bildirim gönderebilmeniz için app nizin yayınlanmış olması gereklidir.
Your message has been saved successfully and will be sent at the entered date;Mesajınız başarıyla kaydedildi ve girilen tarihte gönderilecektir
Your message has been saved successfully and will be sent in a few minutes;Mesajınız başarıyla kaydedildi ve bir kaç dakika içinde gönderilecektir
and users entering the area;ve kullanıcıların alanına giren
for a limited period;sınırlı bir süre için
now;şimdi
on a specific date;özel bir tarihte
