"Access restricted to authorized members only";"Zugang nur für autorisierte Mitarbeiter nur"
"Allow all the users by default:";"Ermöglichen Sie allen Benutzern standardmäßig:"
"Choose the features to lock:";"Wählen Sie die Funktionen sperren:"
"Lock the entire application?";"Sperren die gesamte Anwendung zu?"
"Restrict Access";"Einschränken des Zugriffs"
"We are sorry but your account does not have enough permissions to access this page";"Es tut uns leid, aber Ihr Konto verfügt nicht über genügend Berechtigungen Zugriff auf diese Seite"
"the email address";"die e-Mail-Adresse"
"the first name";"der erste name"
"the gender";"das Geschlecht"
"the last name";"der Nachname"
"the password";"das Kennwort"
