Add a link;Voeg een link toe
An error occurred while saving your picto. Please try againg later.;Er is een fout opgetreden bij het opslaan van uw pictogram. Probeert u het later nog een keer.
Are you sure you want to delete this link?;Weet u zeker dat u deze link wilt verwijderen?
Are you sure you want to delete this picture?;Weet u zeker dat u deze afbeelding wilt verwijderen?
Link;Link
Link has been successfully deleted;Link is succesvol verwijderd
Link has been successfully saved;Link is succesvol opgeslagen
Link:;Link:
Picto;Picto
The image has been successfully deleted;De afbeelding is met succes verwijderd
The image has been successfully saved;De afbeelding is met succes bewaard
Your links;Uw links
