Parameter;Paramètres
Send your pictures;Envoyer vos photos
User;Utilisateur
Gallery Name;Nom de la galerie
Choose an album;Choisir un album
Maximum size : 2000*2000 px - Allowed filetypes : jpg and png;Taille maximale: 2000 * 2000 px - Type de fichiers permis: jpg et png
Description:;Description:
Required field;Champs obligatoire
;Supprimer cette galerie ?
Title:;Titre
Search;Rechercher
"Gallery Name <span class=""required-entry"">*</span> :";"Nom de la galerie <span class=""required-entry"">*</span> :"
Feed URL;URL du flux RSS
"Feed URL <span class=""required-entry"">*</span> :";"URL du flux RSS <span class=""required-entry"">*</span> :"
Parameter/Feed Url;Paramètres/URL du flux RSS
Search/Url;Rechercher/Url
More pictures;Plus d'images
No pictures matching your selection;Pas de photos correspondant à votre sélection
An error occurred while loading pictures. Please try later.;Oouups.. Une erreur est survenue lors du chargement des images. Merci de réessayer plus tard.
More videos;Plus de vidéos
No videos matching your selection;Aucune vidéo correspondant à votre sélection
An error occurred while loading videos. Please try later.;Une erreur est survenue lors du chargement des vidéos. Merci de réessayer plus tard.
The entered name is not a valid Instagram user.;Le nom saisi n'est pas un utilisateur Instagram valide.
An error occurred while saving your images gallery. Please try again later.;Une erreur est survenue lors de l'enregistrement de votre galerie d'images. Merci de réessayer plus tard.
Images gallery has been saved successfully;La galerie d'images a été enregistré avec succès
An error occurred while deleting you images gallery. Please try again later.;Une erreur est survenue pendant que vous la suppression de galerie d'images. Merci de réessayer plus tard.
An error occurred while saving your videos gallery. Please try again later.;Une erreur est survenue lors de l'enregistrement de votre galerie de vidéos. Mercci de réessayer plus tard.
Videos gallery has been saved successfully;La galerie de vidéos a été enregistré avec succès
