"My customers answers";"Respuestas de mis clientes"
"There is no comment for this news";"No hay comentarios para ésta noticia"
"Publishing date";"Fecha de publicación"
"Insert a";"Insertar un"
"Create a news:";"Crear una información : "
"Show this info";"Mostrar esta información"
"Hide this info";"Ocultar esta información"
"Your comment";"Su comentario"
Like;Like
"Pull up to display more";"Tire hacia arriba para mostrar más."
"Release to refresh...";"Soltar para actualizar …"
Loading...;"Cargando …"
"Nothing more to display";"No hay más que mostrar"
"Please, enter a comment";"Por favor, introduzca un comentario"
"An error occurred while deleting this answer. Please try again later.";"Se ha producido un error al eliminar la respuesta. Por favor inténtelo de nuevo más tarde."
"Information successfully saved";"Información guardada correctamente"
"Information successfully deleted";"Información eliminada correctamente"
"Information successfully showed";"Información mostrada correctamente"
"Information successfully hidden";"Información ocultada correctamente"
"Your message has been successfully saved.";"Su mensaje ha sido guardado correctamente."
"It will be visible only after validation by our team.";"Será visible después de ser validado por nuestro equipo."
"Your like has been successfully added";"Su Like se ha agregado con éxito"
"You can't like more than once the same news";"No puede enviar más de un like en la misma noticia."
