" is now yours!";"ara és teva!"
"%d validated points = ";"validat %d punts ="
"1 loyalty point =";"punt 1 lleialtat ="
"1 point";"1 punt validat"
"1 validated point = ";"1 punt ="
"An error occurred while saving the password. Please try again later";"S'ha produït un error mentre es desava la contrasenya. Si us plau provar una altra vegada més tard"
"An error occurred while saving the password. Please try again later.";"S'ha produït un error mentre es desava la contrasenya. Si us plau provar una altra vegada més tard."
"An error occurred while saving your loyalty card.";"S'ha produït un error mentre es desava la targeta de fidelització."
"An error occurred while saving your loyalty card. Please fill all fields in.";"S'ha produït un error mentre es desava la targeta de fidelització. Empleneu tots els camps."
"An error occurred while validating point. Please try again later.";"S'ha produït un error en validar el punt. Si us plau provar una altra vegada més tard."
"Card name";"Nom de la targeta"
"Congratulations";"Felicitacions"
"Current card";"Targeta actual"
"Delete this password?";"Voleu suprimir aquesta contrasenya?"
"Employee's name";"Nom de l'empleat"
"Employee's name:";"Nom del treballador:"
"Employee's password";"Contrasenya de l'empleat"
"Employee's password:";"Contrasenya del treballador:"
"Enter the password";"Introduïu la contrasenya"
"My new loyalty card";"La meva nova targeta de fidelització"
"My passwords";"Meves contrasenyes"
"Number of points";"Nombre de punts"
"Please enter a name";"Introduïu un nom"
"Please enter the password";"Si us plau, introdueixi la contrasenya"
"Please show your phone to the store person so that he enters his password";"Si us plau mostri el seu telèfon a la botiga de persona que entra a la contrasenya"
"Point%s successfully validated";"Punt validat correctament %s"
"Previous cards";"Cartes anteriors"
"Reward";"Recompensa"
"We are sorry but this card is temporarily blocked";"Ho sentim però aquesta targeta està temporalment bloquejat"
"Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point";"Contrasenya equivocada. Sigui carefull! %d restants intent %s abans de tancar la seva targeta. Pregunti a la persona de botiga per a validar el seu punt"
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"Malament contrasenya. < br / > Vés! %d restants intent %s abans de tancar el seu adaptadora < br / > Pregunti a la persona de botiga per a validar el seu punt"
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"Heu superat el nombre d'intents per validar punts. La targeta està blocada per a 24h"
"You just finished your card";"Que acaba de finalitzar la targeta"
"You must be logged in to validate points";"Vostè estar enregistat per validar punts"
"Your loyalty card has been saved successfully";"Targeta fidelitat s'ha desat correctament"
"Your password must be 4 digits";"La contrasenya ha de ser 4 dígits"
"point";"punt"
"point to validate";"punt per validar"
"points to validate";"punts per validar"
"validated points = ";"validat punts ="
