"Create a new language";"Создать новый языковой перевод"
"Default text";"Текст по умолчанию"
"Edit the language: %s";"Изменить язык: %s"
"Language";"Язык"
"Language successfully saved";"Перевод успешно сохранен"
"List of your languages";"Список ваших переводов"
"Please, choose a language.";"Пожалуйста, выберите язык."
"Please, choose a file.";"Пожалуйста, выберите файл."
"Select a file";"Выберите файл"
"Select a language";"Выберите язык"
"Text translation";"Перевод текста"
"Translations";"Переводы"
"Your translation";"Ваш перевод"
