"An error occurred while saving your contact informations.";"Während dem speichern Ihrer Kontaktinformationen ist ein Fehler aufgetreten."
"An error occurred while sending your message. We apologize and ask you to try later.";"Während der Übermittlung Ihrer Nachricht ist ein Fehler aufgetreten. Wir entschuldigen uns und bitten Sie, es später nochmals zu versuchen"
"An error occurred while sending your request. Please try again later.";"Beim Senden Ihrer Anfrage ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal"
"And his phone number:";"Und seine Telefonnummer:"
"Are you sure you want to remove the picture?";"Sind Sie sicher, dass Sie das Bild entfernen möchten?"
City;Stadt
"Contact information";Kontaktinformationen
"Contact informations";Kontaktinformationen
"Here is his email:";"Hier ist seine e-Mail:"
"Here is his message:";"Hier ist seine Botschaft:"
"Informations successfully saved";"Informationen erfolgreich gespeichert"
"Insert a <br /><span class=""bold"">cover image</span>";"Legen Sie eine <br /> <span class=""bold""> Cover-Bild </span>"
"Message from your app %s";"Nachricht von Ihrer App %s"
"Please enter properly the following fields: <br />";"Bitte vervollständigen Sie die folgenden Felder: <br />"
SEND;senden
"Thank you for your request. We'll answer you as soon as possible.";"Vielen Dank für Ihre Anfrage. Wir werden Sie so bald wie möglich beantworten."
Twitter;Twitter
Website;Website
"You have received a message from a contact:";"Sie haben eine Nachricht von einem Kontakt erhalten:"
"Your email";"Ihre E-Mail"
"Your message has been sent";"Ihre Nachricht wurde gesendet"
"Your name";"Ihr Name"
"Your request";Inhalt
"Zip code";PLZ
