"Additionnal Information";"Добавить информацию"
"And a radius (in Km):";"Задать радиус в км"
"Android";"Android"
"Creation date";"Дата отправки"
"Enter a location:";"Введите местоположение:"
"GCM Key";"GCM ключ"
"I want to send it";"Я хочу отправить Push-сообщение"
"Keys successfully saved";"Ключи успешно сохранены"
"Message";"Сообщение"
"Message:";"Сообщение:"
"Pending";"В ожидании"
"Push Notifications";"Push-сообщения"
"Push Notifications Settings";"Настройки Push-сообщения"
"Radius";"Радиус"
"Send to a specific location";"Отправить в определенное место"
"Send to all my users";"Послать всем своим пользователям"
"Sender ID";"ID отправителя"
"Sending date";"Дата отправки"
"The duration limit must be higher than the sent date";"Время действия должно быть больше, чем указанная дата"
"Your app must be published to send a push notification.";"Ваше приложение должно быть опубликовано, чтобы отправлять  Push-уведомления."
"Your message has been saved successfully and will be sent at the entered date";"Ваше сообщение было успешно сохранено и будет отправлено в указанную дату."
"Your message has been saved successfully and will be sent in a few minutes";"Ваше сообщение было успешно сохранено и будет отправлено в течение нескольких минут."
"and users entering the area";"и пользователям при входе в зону"
"for a limited period";"в течение ограниченного периода"
"now";"сейчас"
"on a specific date";"на определенную дату"
