<strong>%s</strong> must be a numerical value<br />;<strong>%s</strong> moet een numerieke waarde zijn<br />
<strong>%s</strong> must be a valid date (e.g. dd/mm/yyyy)<br />;<strong>%s</strong> moet een geldige datum zijn (e.g. dd/mm/yyyy)<br />
<strong>%s</strong> must be a valid date<br />;<strong>%s</strong> moet een geldige datum zijn<br />
<strong>%s</strong> must be a valid email address<br />;<strong>%s</strong> moet een geldig e-mailadres zijn<br />
<strong>%s</strong> must be filled<br />;<strong>%s</strong> moeten worden ingevuld<br />
Add a field;Bewerk veld
Add a section;Bewerk een selectie
Add an option;Bewerk een optie
An error occurred while saving. A field can't be identified.;Er is een fout opgetreden tijdens het opslaan. Een veld kan niet worden geïdentificeerd.
Are you sure you want to remove this field?;Bent u zeker dat u dit veld wilt verwijderen?
Are you sure you want to remove this section?;Bent u zeker dat u dit gedeelte wilt  verwijderen?
Hello,;Hallo
Checkbox;Checkbox
Choose a field type:;Kies een veld type
Create a new field;Maak een nieuw veld
Date/Hour;Datum/uur
Drop down;Dropdown
Edit field %s;Bewerk veld %s
Field name;Veldnaam
Field name:;Veldnaam:
Geolocation;Geolocatie
Manage fields;Beheer velden
Manage options:;Beheer opties:
Multiline text;Multiline text
Option;Optie
Radio;Radio
Recipient email:;Ontvanger e-mail:
The form has been sent successfully;Het formulier is succesvol verzonden
You have to choose a field type.;Je moet een veld type kiezen.
Your app's form;Uw app formulier
Your form has been filled out, here are the answers:;Uw formulier is ingevuld  hier zijn de antwoorden:
