An error occurred while deleting the event;Er is een fout opgetreden tijdens het verwijderen van dit evenement 
An error occurred while loading this event;Er is een fout opgetreden tijdens het laden van dit evenement 
Beginning date:;Begin datum:
Calendar successfully deleted;Kalender is verwijderd
Calendar's URL;Kalender URL
Calendar's title;Kalender titel
Change picture;Verander afbeelding
Create a new event;Maak een nieuw evenement
Custom Page;Aangepaste pagina
Delete this calendar?;Verwijder Kalender
Delete this event?;Verwijder evenement
Ending date:;Eind datum:
Enter your calendar's title;Vul de titel van uw agenda in 
Event;Evenement bewaard
Event successfully deleted;Evenement verwijderd
Event successfully saved;Evenement bewaard
Event title:;Evenement titel
Illustration;Illustratie
Max size: 2000x2000px - allowed formats: jpg & png;Maximale grootte:  2000x2000px – toegestaande formaten jpg en png
Modify the event;Bewerk evenement
RSVP;RSVP
RSVP URL:;RSVP URL:
Your Facebook page ID;Uw FaceBook pagina ID
"Your Facebook page ID <span class=""required-entry"">*</span> :";"Uw FaceBook pagina ID <span class=""required-entry"">*</span> :"
Your calendar is empty;Je agenda is leeg
iCal;iCal
