"%s - Account creation";"% S - La creació de comptes"
"%s - Your new password";"% S - La seva nova contrasenya"
"A request to reset your password has been made.";"Una sol·licitud per restablir la contrasenya s'ha fet."
"An error occurred while connecting to your Facebook account. Please try again later";"S'ha produït un error en connectar amb el teu compte de Facebook. Torneu-ho de nou més tard"
"Are you sure you want to remove this user?";"Segur que vols eliminar aquest usuari?"
"Change Password";"Canviar La Contrasenya"
Congratulations,;Felicitats,
Create;Crear
"Create a new user";"Crea un nou usuari"
"Create an account";"Crea un compte"
Customer;Client
Customers;Clients
Disconnect;Desconnectar
"Edit the user %s";"Editeu l'usuari% s"
"First name";"Nom de pila"
"Forgot your password?";"Perdut la contrasenya?"
Gender;Gènere
"Here are your credentials:";"Aquí estan els seus credencials:"
"I accept the <u>privacy policy</u>";"Accepto <u> la política de privacitat </ u>"
"If you encounter any problems, do not hesitate to contact us:";"Si té algun problema, no dubti en contactar amb nosaltres:"
"Last name";Cognom
Login:;"Iniciar Sessió:"
Miss;Senyoreta
Mr;Sr
Mrs;Sra
"My Account";"El meu compte"
"My application's users";"Els usuaris de la meva sol·licitud"
"Old Password";"Contrasenya Anterior"
"Or with your account";"O amb el vostre compte"
"Please enter your email address. We'll send you your password right now.";"Introduïu la vostra adreça de correu electrònic. T'enviarem la contrasenya ara."
"Please log in with your mobile phone";"Si us plau, accedeixi amb el seu telèfon mòbil"
"Privacy Policy";"Política De Privadesa"
"See you soon,";"Fins aviat,"
"Show me in ranking";"Mostreu-me en el rànquing"
"The old email address does not match the entered email address.";"Mostreu-me en el rànquing"
"This user can access the pages locked by the ""Locker"" feature";"Aquest usuari pot accedir a les pàgines bloquejades per la característica ""Locker"""
"This user is visible in ranking";"Aquest usuari és visible en el rànquing"
User;Usuari
"User Information";"Informació de l'usuari"
Users;Usuaris
"We are sorry but the %s account is already linked to one of our customers";"Ho sentim però el compte% s ja està vinculada a un dels nostres clients"
"You have created your account. With this account, you will be able to enjoy great offers available in our application.";"S'ha creat el seu compte. Amb aquest compte, vostè serà capaç de gaudir de grans ofertes disponibles a la nostra aplicació."
"Your account has been successfully saved";"El seu compte ha estat guardat amb èxit"
