"%s - All";"% S - Tots"
"Add a category";"Afegir una categoria"
"Add a format";"Afegir un format"
All;tots
"An error occurred while loading your product.";"S'ha produït un error en carregar el producte."
"An error occurred while saving the category. Please try again later.";"S'ha produït un error en desar la categoria. Intenta-ho de nou més tard."
"An error occurred while saving the product. Please try again later.";"S'ha produït un error en desar el producte. Intenta-ho de nou més tard."
"An error occurred while saving the set meal. Please try again later.";"S'ha produït un error en guardar el joc menjar. Intenta-ho de nou més tard."
"An error occurred while saving. One of your categories could not be identified.";"S'ha produït un error en desar. Un dels seus categories no van poder ser identificats."
"An error occurred while saving. One of your products could not be identified.";"S'ha produït un error en desar. Un dels seus productes no van poder ser identificats."
"Are you sure you want to delete this product?";"Segur que vols eliminar aquest producte?"
Category;categoria
"Choose a category";"Tria una categoria"
"Choose a subcategory";"Seleccioneu una subcategoria"
"Click on a category to display sub-categories";"Feu clic en una categoria per mostrar les subcategories"
"Create a new product";"Crear un nou producte"
"Does this product have many formats?";"Aquest producte té molts formats?"
"Edit the";"Edita el"
"Edit the product";"Editeu el producte"
Format;format
Picture;imatge
Price;preu
Product;producte
"Product formats";"execució dels productes"
"Product name";"nom del producte"
Rules;regles
"Set meal successfully deleted.";"Dinar del set eliminat correctament."
"Set meal successfully saved.";"Dinar del set guardat correctament."
Sub-category;Sub-categoria
st;st
sub-category;subcategoria
