".mp4 or .3gp format";". mp4 oder .3 gp-Format"
"Add ";hinzufügen
"Add a";hinzufügen
"Add sections:";"In Sektionen:"
Address:;Adresse:
Alignment:;Ausrichtung:
"An error occurred while saving your page.";"Beim Speichern Ihrer Seite ist ein Fehler aufgetreten."
"Are you sure you want to delete this page?";"Bist du sicher, dass Sie diese Seite löschen möchten?"
Description:;Beschreibung:
"Display address";Anzeigeadresse
"Display location button";"Standort Display-Taste"
Label;Label:
Label:;Label:
Large;groß
"Loading picture:";"Das Bild wird geladen:"
"Make a search or enter the Youtube Url:";"Suchen Sie oder geben Sie den Youtube Link ein:"
Medium;Medium
"My Youtube video:";"Mein Youtube-Video:"
"My video";"Mein Video"
"No videos matching your selection";"Keine Videos Ihrer Selektion entsprechen"
"Page successfully deleted";"Seite wurde erfolgreich gelöscht."
"Page successfully saved";"Seite erfolgreich gespeichert"
Picture;Bild
Pictures;Bilder
"Podcast URL:";"Podcast URL:"
"Select a button type:";"Wählen Sie eine Schaltfläche:"
"Select a video type:";"Wählen Sie eine Video Art:"
Size:;Größe:
Small;klein
"Video URL:";"Video URL:"
"Your Podcast:";"Ihr Podcast:"
