" is now yours!";"Теперь за вами!"
"1 loyalty point =";"1 метка лояльности ="
"1 point";"1 метка ="
"1 validated point = ";"1 подтверждённая метка ="
"An error occurred while saving the password. Please try again later";"Произошла ошибка при сохранении пароля. Пожалуйста, повторите попытку позже"
"An error occurred while saving the password. Please try again later.";"Произошла ошибка при сохранении пароля. Пожалуйста, повторите попытку позже."
"An error occurred while saving your loyalty card.";"Произошла ошибка при сохранении вашей карты лояльности."
"An error occurred while saving your loyalty card. Please fill all fields in.";"Произошла ошибка при сохранении вашей карты лояльности. Пожалуйста, заполните все поля."
"An error occurred while validating point. Please try again later.";"Произошла ошибка при проверке точку. Пожалуйста, повторите попытку позже."
"Card name";"Имя карточки"
"Congratulations";"Поздравляю"
"Current card";"Текущая метка"
"Delete this password?";"Удалить этот пароль?"
"Employee's name";"Имя работника"
"Employee's name:";"Имя работника:"
"Employee's password";"Пароль работника"
"Employee's password:";"Пароль работника:"
"Enter the password";"Ввести пароль"
"My new loyalty card";"Моя новая карта лояльности"
"My passwords";"Мои пароли"
"Number of points";"Количество меток"
"Please enter a name";"Пожалуйста, введите имя"
"Please enter the password";"Пожалуйста, введите пароль"
"Please show your phone to the store person so that he enters his password";"Пожалуйста, покажите ваш телефон в магазине  продавцу, для ввода пароля"
"Point%s successfully validated";"Метка %s успешно проверена"
"Previous cards";"Предыдущие карты"
"Reward";"Вознаграждение"
"We are sorry but this card is temporarily blocked";"Мы сожалеем, но эта карта временно заблокирована"
"Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point";"Неверный пароль. Будьте осторожны! %d остальные попытки%s могут блокировать карту. Попросите в магазине продавца проверить ваши пункты"
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"Неверный пароль. <br /> Будьте осторожны! %d остальные попытки%s могут блокировать карту. <br />Попросите в магазине продавца проверить ваши точки"
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"Вы превысили количество попыток для проверки точек. Ваша карта будет заблокирована на 24 часа"
"You just finished your card";"Вы только что закончили свою карту"
"You must be logged in to validate points";"Вы должны войти в систему для проверки меток"
"Your loyalty card has been saved successfully";"Ваша карта лояльности была успешно сохранена"
"Your password must be 4 digits";"Ваш пароль должен состоять из 4 цифр"
"point";"метка"
"point to validate";"указывают для проверки"
"points to validate";"Метки для проверки"
"validated points =";"погашенные метки ="
"validated points = ";"проверенные метки ="
