"%s - Your new password";"% S - La seva nova contrasenya"
"A request to reset your password has been made to log in to your administration panel.";"Una sol·licitud per restablir la contrasenya s'ha fet per accedir al seu panell d'administració."
"Admin successfully deleted";"Admin ha eliminat correctament"
"An error occurred while saving. The country is not valid.";"S'ha produït un error en desar. El país no és vàlida."
"Are you sure you want to delete this application?";"Segur que vols eliminar aquesta aplicació?"
"Can add pages";"Podeu afegir pàgines"
"Change my password";"Canviar la contrasenya"
"Confirm your password";"Confirmeu la contrasenya"
"Create a new application";"Crear una nova aplicació"
"Create a new user";"Crea un nou usuari"
"Created At";"Creat el"
"Created at %s";"Creat el% s"
"Do not hesitate to give us your feedback by sharing your needs:";"No dubti en fer-nos arribar els seus comentaris en compartir les seves necessitats:"
"Edit the account ""%s""";"Editeu el compte ""% s"""
"Edit the user %s";"Editeu l'usuari% s"
Enjoy!;Gaudiu!
"Find some advices here:";"Troba aquí alguns consells:"
"Here are your credentials, keep them preciously:";"Aquí estan els seus credencials, mantenir preciosament:"
"List of admin accounts";"Llista de comptes d'administrador"
"List of my accounts";"Llista dels meus comptes"
"List of your users";"Llista dels seus usuaris"
"Log-in As";"Log-in Com"
"Manage access";"Administrar l'accés"
"My Applications";"Els meus Aplicacions"
"My information";"La meva informació"
"Need some help?";"Necessites ajuda?"
"Please enter a valid email address.";"Si us plau, introdueix una adreça de correu electrònic vàlida."
"Please, enter an application name";"Si us plau, introduïu un nom d'aplicació"
"Ready to create your own apps?";"A punt per crear les seves pròpies aplicacions?"
"Sign up";"Sign up"
"Thanks for choosing us!";"Gràcies per triar!"
"The Support Team";"L'Equip de Suport"
"The password and the confirmation does not match.";"La contrasenya i la confirmació no coincideix."
"The password must be at least 6 characters.";"La contrasenya ha de tenir com a mínim 6 caràcters."
"We are sorry but this email address is already used.";"Ho sentim però aquesta adreça de correu electrònic ja està en ús."
Welcome!;Benvingut!
"You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"Vostè va encantar! Gràcies a les nostres característiques eficaços, vostè serà capaç de crear grans aplicacions mòbils en el seu nom, en qüestió de minuts."
"You can't delete the main account";"No es pot eliminar el compte principal"
"You don't have any users yet";"No té cap usuari encara"
"Your credentials";"Els seus credencials"
"Your login:";"El seu nom d'usuari:"
"Your password:";"La seva contrasenya:"
