"%s ago";"fa %s"
"404, page not found";"404, Pàgina no trobada"
"APIs";"API"
"Accounts";"Comptes"
"Actions";"Accions"
"Add";"Afegir"
"Add a";"Afegir un"
"Add image";"Afegir imatge"
"Address";"Direcció"
"All items";"Tots els articles"
"An error occurred during process. Please try again later.";"S'ha produït un error durant el procés. Intenta-ho de nou més tard."
"An error occurred during the process. Please try again later.";"S'ha produït un error durant el procés. Intenta-ho de nou més tard."
"An error occurred while loading places.";"S'ha produït un error en els llocs d'embarcament."
"An error occurred while loading. Please try again later.";"S'ha produït un error en carregar. Intenta-ho de nou més tard."
"An error occurred while loading. Please, try again later.";"S'ha produït un error en carregar. Si us plau, torneu a intentar-ho més tard"
"An error occurred while saving";"S'ha produït un error en desar"
"An error occurred while saving your account. Please try again later.";"S'ha produït un error en desar la vostra compte. Intenta-ho de nou més tard."
"An error occurred while saving your picture. Please try againg later.";"S'ha produït un error en desar la imatge. Si us plau, intenti againg després."
"An error occurred while saving. Please try again later.";"S'ha produït un error en desar. Intenta-ho de nou més tard."
"An error occurred while saving. Please, try again later.";"S'ha produït un error en desar. Si us plau, torneu a intentar-ho més tard."
"An error occurred while uploading your file. Please, try again later.";"S'ha produït un error en pujar el fitxer. Si us plau, torneu a intentar-ho més tard."
"An unexpected error occurred while calculating the route.";"S'ha produït un error inesperat en calcular la ruta."
"Appearance";"Aparença"
"Application";"Aplicació"
"Application Name";"Nom de l'aplicació"
"Applications";"Aplicacions"
"Are you sure you want to delete this element?";"Segur que vols eliminar aquest element?"
"Are you sure you want to remove this account?";"Segur que vols eliminar aquest compte?"
"Authentication failed. Please check your email and/or your password";"Error d'autenticació. Si us plau revisi el seu correu electrònic i / o la contrasenya"
"Back";"Esquena"
"Background";"Fons"
"Browse";"Explorar"
"Can only be used once";"Només es pot utilitzar una vegada"
"Cancel";"Cancel·la"
"Cart";"Carro"
"Change password";"Canviar la contrasenya"
"City";"Ciutat"
"City:";"Ciutat:"
"Close";"Prop"
"Comment";"Comentari"
"Comments";"Comentaris"
"Communication";"Comunicació"
"Company";"Empresa"
"Coms";"Coms"
"Conditions";"Condicions"
"Confirm Password";"Confirmar Contrasenya"
"Confirm new password";"Confirmar nova contrasenya"
"Contact successfully added to your address book";"Poseu-vos en contacte amb agregat amb èxit a la teva llibreta d'adreces"
"Country";"País"
"Create";"Crear"
"Create a new account";"Crea un nou compte"
"Created at";"Creat el"
"Currency";"Moneda"
"Current password";"Contrasenya actual"
"Dashboard";"Quadre de comandament"
"Date of birth";"Data de naixement"
"Date of birth:";"Data de naixement:"
"Default Languages";"defecte Idiomes"
"Delete";"esborrar"
"Description";"Descripció"
"Description:";"Descripció:"
"Details";"Detalls"
"Edit";"Edita"
"Editing";"Edició"
"Email";"correu electrònic"
"Email address";"Adreça de correu electrònic"
"Email:";"Email:"
"End at";"acta Finalitza el"
"Error : <br/>";"Error: <br/>"
"Errors : <br/>";"Errors: <br/>"
"Export your customers";"Exporta els teus clients"
"Extension not allowed, '%s' only";"L'extensió no permesa, '% s' només"
"Facebook";"Facebook"
"Firstname";"Nom De Pila"
"Firstname:";"Nom De Pila:"
"Forgot your password ?";"Perdut la contrasenya?"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.";"Perdut la contrasenya? No et preocupis! Simplement introdueixi la seva adreça de correu electrònic i li enviarem un nou un ara mateix."
"General";"General"
"Hello,";"Hola,"
"Here is your new password:";"Aquí està la teva nova contrasenya:"
"How do you want to access the backoffice if you remove the only user remaining?";"Com vol accedir al backoffice si es treu l'únic usuari que queda?"
"ID";"Identificació"
"Image not high enough, %spx minimum allowed.";"La imatge no prou alta, mínim% SPX permès."
"Image not large enough, %spx minimum allowed.";"La imatge no prou gran, mínim% SPX permès."
"Image not large enough, '%s' allowed.";"La imatge no prou gran, '% s' permès."
"Image too high, %spx maximum allowed.";"Imatge massa alta, màxima% SPX permès."
"Image too large, %spx maximum allowed.";"Imatge massa gran, màxim% SPX permès."
"Image too large, '%s' allowed.";"Imatge massa gran, '% s' permès."
"In order to fully enjoy our features, we encourage you to use at least:.<br />";"Per tal de gaudir plenament de les nostres característiques, us recomanem que utilitzeu almenys:. <br />"
"In order to publish your application, we need:<br />- ";"Per tal de publicar l'aplicació, necessitem: <br /> -"
"Incorrect filetype.";"Filetype incorrecta"
"Info successfully saved";"Info guardat correctament"
"Information";"Informació"
"Infos successfully saved";"Infos guardat correctament"
"Insert a <br /><span class=""bold"">cover image</span>";"Inseriu un <br /> <span class = ""bold""> imatge de portada </ span>"
"Invalid place";"Lloc no vàlid"
"Invoices";"Factures"
"Last Name";"Cognom"
"Lastname";"Cognom"
"Lastname:";"Cognom:"
"Like";"gusta"
"Likes";"gustos"
"Link";"enllaç"
"Load More";"carregar més"
"Locate";"Localitzar"
"Location:";"Ubicació:"
"Log in";"Inicia sessió"
"Log-in";"Inicia sessió"
"Log-out";"Fi de sessió"
"Logged in as";"Connectat com"
"MM,d yy";"MM, d ii"
"MM/dd/y";"MM / dd / any"
"MM/dd/y 'at' hh:mm a";"MM / dd / aa 'a' hh: mm 1"
"MM/dd/y hh:mm a";"Dd / mm / hh: mm I un"
"MM/dd/yy";"MM / dd / aa"
"MM/dd/yyyy";"MM / dd / aaaa"
"MMMM dd y";"MMMM dd i"
"Main category";"Categoria principal"
"Make this image colorizable";"Feu aquesta colorizable"
"Manage";"Gestionar"
"Map";"Mapa"
"Maps";"Mapes"
"Message from your app %s";"Missatge de la seva aplicació% s"
"Messages";"Missatges"
"Modules";"Mòduls"
"More";"més"
"My account";"El meu compte"
"My invoices";"Els meus factures"
"Name";"Nom"
"Never";"Mai"
"New";"nou"
"Next";"Següent"
"No";"No"
"No address to display on map.";"No hi ha direcció per mostrar al mapa."
"No place to display on map.";"No hi ha lloc per mostrar al mapa."
"No results";"no hi ha resultats"
"No uploaded image";"Sense imatge pujada"
"Nothing to display";"Res a mostrar"
"Number";"nombre"
"OK";"OK"
"OR";"QR"
"Ouch, this page doesn't exist";"Títol"
"Password";"Contrasenya"
"Password:";"Contrasenya:"
"Passwords don't match";"Les contrasenyes no coincideixen"
"Payment";"pagament"
"Phone";"telèfon"
"Phone:";"Telèfon:"
"Photos";"fotos"
"Plans";"plans"
"Platform Name";"Nom de la plataforma"
"Player";"Jugador Si us plau,"
"Please enter a password";"Si us plau, introduïu una contrasenya"
"Please enter a valid URL.";"Si us plau introdueixi una URL vàlida."
"Please enter a valid credit card number.";"Si us plau, introduïu un número de targeta de crèdit vàlida."
"Please enter a valid date (ISO).";"Si us plau, introduïu una data vàlida (ISO)."
"Please enter a valid date.";"Si us plau, introdueixi una data vàlida."
"Please enter a valid email address";"Si us plau, introduïu una adreça electrònica vàlida"
"Please enter a valid email address.";"Si us plau, introduïu una adreça electrònica vàlida."
