".mp4 or .3gp format";"τύπος αρχείου .mp4 ή .3gp"
"Add ";"Προσθήκη"
"Add sections:";"Προσθήκη τμημάτων:"
"Address:";"Διεύθυνση:"
"Alignment:";"Ευθυγράμμιση:"
"An error occurred while saving your page.";"Υπήρξε σφάλμα κατά την αποθήκευση της σελίδας σας."
"Are you sure you want to delete this page?";"Είστε σίγουρος ότι θέλετε να διαγράψετε αυτή την σελίδα?"
"Display address";"Προβολή διεύθυνσης"
"Display location button";"Προβολή κουμπιού τοποθεσίας"
"Label";"Ετικέτα"
"Label:";"Ετικέτα:"
"Large";"Μεγάλο"
"Loading picture:";"Φόρτωση εικόνας:"
"Make a search or enter the Youtube Url:";"Κάντε αναζήτηση ή εισάγετε το YouTube link:"
"Medium";"Μέτριο"
"My Youtube video:";"Τα YouTube video μου:"
"My video";"Τα video μου"
"No videos matching your selection";"Δεν υπάρχουν video που να ταιριάζουν στην επιλογή σας"
"Page successfully deleted";"Η σελίδα διεγράφη επιτυχώς"
"Page successfully saved";"Η σελίδα αποθηκεύτηκε επιτυχώς"
"Podcast URL:";"URL του Podcast σας:"
"Select a button type:";"Επιλέξτε έναν τύπο κουμπιού:"
"Select a video type:";"Επιλέξτε έναν τύπο video:"
"Small";"Μικρό"
"Video URL:";"Σύνδεσμος video:"
"Your Podcast:";"Το Podcast σας:"
