"%d Unread Message";"%d ungelesene Nachricht"
"%d Unread Messages";"%d ungelesene Nachrichten"
"Account";"Konto"
"Change the password";"Ändern des Kennworts"
"Click to mark as not read";"Hier klicken, um als nicht gelesen markiert"
"Click to mark as read";"Klicken Sie auf als gelesen markieren"
"Create a user";"Erstellen Sie einen Benutzer"
"Edit the account ""%s""";"Bearbeiten Sie das Konto ""%s"""
"Edit the user";"Den Benutzer bearbeiten"
"Enter your credentials:";"Geben Sie Ihre Anmeldeinformationen:"
"List of backoffice accounts";"Liste der Backoffice-Konten"
"List of the messages";"Liste der Nachrichten"
"Login to your backoffice interface";"Anmelden, um Ihre Backoffice-Schnittstelle"
"People who are allowed to access the backoffice";"Menschen, die das Backoffice zugreifen dürfen"
"Siberian CMS";"Siberian CMS"
"This account can't be deleted, it's the only one";"Dieses Konto kann nicht gelöscht werden, es ist die einzige"
"User successfully deleted";"Benutzer erfolgreich gelöscht"
"View Details";"Details anzeigen"
"Your new password";"Ihr neues Passwort"
"Your password";"Ihr Passwort"
