"An error occurred while saving your contact informations.";"Při ukládání kontaktních informací došlo k chybě."
"An error occurred while sending your request. Please try again later.";"Při odesílání Vaší zprávy došlo k chybě. Zkuste to prosím později."
"And his phone number:";"Telefonní číslo:"
"Are you sure you want to remove the picture?";"Opravdu chcete odstranit obrázek?"
City;Město
"Contact information";"Kontaktní informace"
"Here is his email:";"Kontaktní email:"
"Here is his message:";"Zde je zpráva/dotaz:"
"Please enter properly the following fields: <br />";"Vyplňte prosím následující údaje: <br />"
Twitter;Twitter
Website;"Webová stránka"
"You have received a message from a contact:";"Obdželi jste zprávu od:"
"Your email";"Váš e-mail"
"Your message has been sent";"Vaše zpráva byla odeslána"
"Your request";Zpráva
"Zip code";PSČ
"﻿An error occurred while saving your contact informations.";"Při ukládání kontaktních informací došlo k chybě."
