Action;Eylem
App Name;App Adı
Client;Müşteri
Date;Tarih
Invoice;Fatura
Invoice %s;Fatura %s
Invoice N°;Fatura N°
List of your invoices;Faturalarınızın listesi
My Invoices;Faturalarım
Order;Sipariş
Orders;Siparişler
Paid At;te ödendi
Paid at:;te ödendi:
Price Excl. Tax;Vergi hariç fiyat
Qty;miktar
This feature is not ready yet. Please try again later.;Bu özellik henüz hazır değil. Daha sonra tekrar deneyiniz.
Total Excl. Tax;Vergiler haric toplam tutar
You don't have any invoices yet;Henüz faturanız yok
