An error occurred while deleting this answer. Please try again later.;Ocorreu um erro ao excluir esta resposta. Por favor, tente novamente mais tarde.
Create a news;Criar uma notícia
Hide this info;Ocultar esta informação
Information successfully deleted;Informação excluída com sucesso
Information successfully hidden;Informação oculta com sucesso
Information successfully saved;Informações salvas com sucesso
Information successfully shown;Informações apresentadas com sucesso
Insert a;Insira um
It will be visible only after validation by our team.;Ele será visível apenas após a validação pela nossa equipe.
My customers answers;Respostas de meus clientes
Publishing date;Data Publicação
Show this info;Mostrar esta informação
There is no comment for this news;Não há nenhum comentário para esta notícia
You can't like more than once the same news;Você só pode curtir a notícia uma vez
Your like has been successfully added;Sua curtida foi adicionada com sucesso.
Your message has been successfully saved.;Sua mensagem foi salva com sucesso.
