%s Subscription for %s;%s Inschrijving voor %s
"<a href=""%s"">Click here</a> to go back to your applications list";"<a href=""%s"">Klik hier</a> om terug te gaan naar je lijst met App's"
Active;Actief
An error occurred while processing your order. Please, try again later.;Er is een fout opgetreden bij het verwerken van uw bestelling. Probeer het later opnieuw.
An error occurred while saving. Please try again later;Er is een fout opgetreden tijdens het opslaan. Probeer het later opnieuw
An error occurred while saving. The selected subscription is not valid.;Er is een fout opgetreden tijdens het opslaan. Het geselecteerde abonnement is niet geldig.
Are you sure you want to delete this plan?;Weet u zeker dat u dit plan wilt verwijderen?
Billing Address;Factuuradres
"By checking this box, you agree <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">to our terms and conditions</a>";"Door het aanvinken van dit vakje, gaat u akkoord <a id = ""show_tos"" href = ""javascript: void (0);"" target = ""_ blank"" class = ""onderstrepen""> met onze algemene voorwaarden </a>"
Charged to your client every month;Word maandelijks in rekening gebracht
Charged to your client every year;Word jaarlijks in rekening gebracht
Charged to your client when placing the order;Word in rekening gebracht bij het plaatsen van de bestelling
Choose the subscription that suits you best:;Kies het abonnement dat het beste bij u past:
Create a new subscription;Maak een nieuw abonnement
Creation;Maak
Describe here this plan. Will be displayed on the front end;Beschrijf hier dit plan. Zal op de voorkant worden weergegeven
Each price must be entered excluding tax;iedere prijs moet worden ingevoerd exclusief BTW
Edit the subscription %s;Bewerk het abonnement %s
Expiration;Vervalt
Expiration date;Vervaldatum
Give a name to this plan. Will be displayed on the front end;Geef een naam aan dit plan. Zal op de voorkant worden weergegeven
List of your plans;Uw prijslijsten (tarieven)
List of your subscriptions;Lijst van uw abonnementen
None;Geen
One-off;Eenmalig
Order's details;Bestel details
Payment;Betaling
Payment Option;Betaal optie
"Payment secured by <img src=""%s"" width=""100"" title=""Paypal"" />";"Beveiligde betaling door <img src=""%s"" width=""100"" title=""Paypal"" />"
Please, enter a company;Vul een bedrijfsnaam in.
Please, enter a country;Vul een land in.
Please, enter a description.;Vul een beschrijving in.
Please, enter a name.;Vul een naam in.
Please, enter an address;Vul een adres in.
Pricing;Tarieven
Proceed to payment?;Overgaan tot betaling?
Recurring;Terugkerende
Setup Fee;Setup kosten
Setup fee;Setup kosten
Subscription;Abonnement
Subscription successfully saved;Abonnement succesvol opgeslagen
Subtotal;Subtotaal
Thanks!;Bedankt!
The monthly price is not a valid price (e.g. 12.34);Het maandelijkse tarief heeft geen geldige waarde (bijvoorbeeld 12.34)
The setup fee is not a valid price (e.g. 12.34);De setup fee heeft geen geldige waarde (bijv. 12.34)
The yearly price is not a valid price (e.g. 12.34);Het  jaarlijkse tarief heeft geen geldige waarde (bijvoorbeeld 12.34)
This subscription is active;Dit abonnement is actief
An error occurred while processing the payment. For more information, please feel free to contact us.;Er is een fout opgetreden bij het verwerken van de betaling. Voor meer informatie neem contact met ons op
VAT Number;BTW-nummer
You already have a subscription for this application;U heeft al een abonnement voor deze App
You don't have any subscriptions yet;Je hebt nog geen abonnementen
You're almost done! After subscribing, we will publish your application on both the AppStore and the Google Play.;Je bent bijna klaar! Na inschrijving zullen we uw applicatie op zowel de AppStore en Google Play publiceren.
Your VAT Number is not valid;Uw BTW-nummer is niet geldig
Your order has been canceled. If you need any help to place your order, please feel free to contact us.;Uw bestelling is geannuleerd. Als u hulp nodig hebt om uw bestelling te plaatsen neem dan gerust contact met ons op
Your order has been successfully paid. Your application will be published very soon.;Uw bestelling is succesvol betaald. Uw App zal zeer binnenkort worden gepubliceerd.
Your subscription must have at least one price;Uw abonnement moet ten minste één prijs hebben
price;Prijs
