"An error occurred while sending your message. We apologize and ask you to try later.";"Während der Übertragung Ihrer Nachricht ist ein Fehler aufgetreten. Wir entschuldigen uns und bitten Sie, es später nochmals zu versuchen."
"Booking details";Buchungsdetails
"Booking details:";"Einzelheiten zur Buchung:"
"Booking subject:";"Buchung betrifft:"
Comment:;Kommentar:
"Date and time";"Datum und Uhrzeit"
"Date and time:";"Datum und Zeit:"
"Email address:";E-Mail-Adresse:
"Enter the location name and contact email:";"Geben Sie den Namen Ihrer Stadt ein und Ihre E-Mail Adresse."
"First name / Last name";"Vorname / Nachname"
"Here are his personal information:";"Hier sind seine persönlichen Informationen:"
Location:;Ort:
"MM dd yy";"MM dd yy"
Mddyy;Mddyy
"Message from your app %s";"Nachricht von Ihrer App %s"
Name:;Name:
"Nom du lieu :";"Nom du Lieu:"
"People number:";"Personen Anzahl:"
"Phone number:";Telefonnummer:
"Please fill out the following fields: ";"Bitte füllen Sie folgende Felder aus:"
"Please fill out the following fields:<br />";"Bitte füllen Sie die folgenden Felder: <br />"
"Please, choose a store";"Bitte wählen Sie einen Shop"
SEND;Senden
"Thank you for your request. We'll answer you as soon as possible.";"Vielen Dank für Ihre Anfrage. Wir werden Sie so bald wie möglich beantworten."
"The booking information";"Die Buchungsinformationen"
"The booking informations";"Die Buchungsinformationen"
"The date and time of the booking";"Das Datum und die Zeit der Buchung"
"The number of people";"Die Personenanzahl"
"You have received a message for the booking of";"Sie haben eine Nachricht für die Buchung erhalten."
"Your chosen location";"Ihren gewählten Standort"
"Your name";"Ihr Name"
"Your phone number or email address";"Ihre Telefonnummer oder E-Mail-Adresse"
"hh:ii A";"hh:ii A"
hhiiA;hhiiA
