"%s - All";"%s - Все"
"Add a category";"Добавить категорию"
"Add a format";"Добавить формат"
"All";"Все"
"An error occurred while loading your product.";"Произошла ошибка при загрузке вашего продукта."
"An error occurred while saving the category. Please try again later.";"Произошла ошибка при сохранении категории. Пожалуйста, повторите попытку позже."
"An error occurred while saving the product. Please try again later.";"Произошла ошибка при сохранении продукта. Пожалуйста, повторите попытку позже."
"An error occurred while saving the set meal. Please try again later.";"Произошла ошибка при сохранении набора продуктов. Пожалуйста, повторите попытку позже"
"An error occurred while saving. One of your categories could not be identified.";"Произошла ошибка при сохранении. Одна из ваших категорий не может быть идентифицирована."
"An error occurred while saving. One of your products could not be identified.";"Произошла ошибка при сохранении. Один из ваших продуктов, не может быть определен."
"Are you sure you want to delete this product?";"Вы уверены, что хотите удалить этот продукт?"
"Category";"Категория"
"Choose a category";"Выберите категорию"
"Choose a subcategory";"Выберите подкатегорию"
"Click on a category to display sub-categories";"Нажмите на категорию, чтобы отобразить подкатегории"
"Create a new product";"Создать новый продукт"
"Does this product have many formats?";"Этот продукт имеет много форматов?"
"Edit the";"Редактировать"
"Edit the product";"Изменить продукт"
"Format";"Формат"
"Picture";"Картина"
"Price";"Прайс"
"Product";"Продукт"
"Product formats";"Форматы продуктов"
"Product name";"Наименование продуктов"
"Rules";"Правила"
"Set meal successfully deleted.";"Набор продуктов успешно удалён"
"Set meal successfully saved.";"Набор продуктов успешно сохранён"
"Sub-category";"Подкатегория"
"st";"улица"
"sub-category";"подкатегория"
