"1. Download the app previewer:";"1. Κατεβάστε την εφαρμογή προεπισκόπησης:"
"2. Open the app and login";"2. Ανοίξτε την εφαρμογή και συνδεθείτε"
"<b>File type:</b> %s";"<b>Τύπος αρχείου:</b>% s"
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>Κάντε κλικ στο<span /> <button class=""add"" type=""button""><i class=""icon-plus""></ i></button> <span>για να προσθέσετε ένα στοιχείο.</ span>"
"Activated";"Ενεργοποιήθηκε"
"Add a new icon";"Προσθέστε ένα νέο εικονίδιο"
"Add pages";"Προσθέστε σελίδες"
"Additional options";"Πρόσθετες επιλογές"
"An error occured while copying your app icon. Please check the icon, try to send it again and try again.";"Παρουσιάστηκε σφάλμα κατά την αντιγραφή εικονιδίου της εφαρμογής σας. Παρακαλούμε ελέγξτε το εικονίδιο και προσπαθήστε να το στείλετε ξανά."
"An error occurred during the generation of your QRCode. Please try again later.";"Παρουσιάστηκε σφάλμα κατά την δημιουργία του QR Code σας. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while adding the option";"Παρουσιάστηκε σφάλμα κατά την προσθήκη της επιλογής"
"An error occurred while changing your layout.";"Παρουσιάστηκε σφάλμα κατά την αλλαγή της διάταξής σας."
"An error occurred while deleting the option";"Παρουσιάστηκε σφάλμα κατά τη διαγραφή της επιλογής"
"An error occurred while deleting your picture";"Παρουσιάστηκε σφάλμα κατά τη διαγραφή της εικόνας σας"
"An error occurred while editing file (%s).";"Παρουσιάστηκε σφάλμα κατά την επεξεργασία του αρχείου (%s)."
"An error occurred while loading";"Παρουσιάστηκε σφάλμα κατά τη φόρτωση"
"An error occurred while saving the application. Please try again later.";"Παρουσιάστηκε σφάλμα κατά την αποθήκευση της εφαρμογής. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while saving your colors.";"Παρουσιάστηκε σφάλμα κατά την αποθήκευση των χρωμάτων σας."
"An error occurred while saving your page name.";"Παρουσιάστηκε σφάλμα κατά την αποθήκευση όνοματος της σελίδας σας."
"An error occurred while saving. The selected icon is not valid.";"Παρουσιάστηκε σφάλμα κατά την αποθήκευση. Η επιλεγμένη εικόνα δεν είναι έγκυρη."
"An error occurred while sorting your pages. Please try again later.";"Παρουσιάστηκε σφάλμα κατά τη ταξινόμηση των σελίδων σας. Παρακαλώ δοκιμάστε ξανά αργότερα."
"Analytics";"Στατιστικά"
"Android APK Generation";"Δημιουργία Android APK"
"Android Version";"Έκδοση Android"
"App Store Icon";"Εικονίδιο App Store"
"Apple's Information";"Πληροφορίες Apple"
"Application name";"Όνομα εφαρμογής"
"Are you sure you want to remove this application?";"Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτή την εφαρμογή?"
"At least 200 characters in the description";"Τουλάχιστον 200 χαρακτήρες στην περιγραφή"
"At least, 4 pages in the application";"Τουλάχιστον, 4 σελίδες στην εφαρμογή"
"Audio";"Ήχος"
"Average by customer";"Μέσος όρος άνα πελάτη"
"Book";"Βιβλίο"
"Bundle Id";"Bundle ID"
"Business";"Επιχείρηση"
"Buy one, get one!";"Αγοράστε ένα, πάρτε ένα!"
"Catalogs";"Κατάλογοι"
"Certificate";"Πιστοποιητικό"
"Change your";"Αλλαγή"
"Change your template";"Αλλαγή προτύπου"
"Change your<br /><span>picture</span>";"Αλλαγή της<br /><span>φωτογραφίας</ span>"
"Checking CNAME configuration:";"Έλεγχος ρυθμίσεων CNAME:"
"Choose a <br /><span class=""bold"">picture</span>";"Επιλέξτε μία<br /><span class=""bold"">φωτογραφία</span>"
"Choose a country";"Επιλέξτε χώρα"
"Choose a font family";"Επιλέξτε γραμματοσειρά"
"Choose a template to customize";"Επιλέξτε ένα πρότυπο ώστε να το τροποποιήσετε"
"Choose your colors";"Επιλέξτε τα χρώματα σας"
"Choose your country";"Επιλέξτε την χώρα σας"
"Choose your design";"Επιλέξτε την εμφάνισή σας"
"Choose your font style";"Επιλέξτε το στυλ της γραμματοσειράς σας"
"Choose your homepage image";"Επιλέξτε την εικόνα της αρχικής σας σελίδας"
"Choose your icons color";"Επιλέξτε τα χρώματα των εικονιδίων σας"
"Choose your layout";"Επιλέξτε την διάταξη σας"
"Choose your template";"Επιλέξτε το πρότυπό σας"
"Click here to download the source code:";"Κάντε κλικ εδώ για να κατεβάσετε τον source κώδικα:"
"Click here to send your certificate";"Κάντε κλικ εδώ για να αποστείλετε το πιστοποιητικό σας"
"Colors";"Χρώματα"
"Dashboard icon";"Εικονίδιο Dashboard"
"Deactivated";"Απενεργοποιημένο"
"Delete this page?";"Διαγραφή αυτής της σελίδας?"
"Design";"Εμφάνιση"
"Developer Accounts";"Λογαριασμοί Προγραμματιστών"
"Device Information";"Πληροφορίες Συσκευής"
"Discount zone description. Here your clients will be able to see the details of each discount";"Περιγραφή Έκπτωτικής ζώνης. Εδώ οι πελάτες σας θα είναι σε θέση να δούν τις λεπτομέρειες της κάθε έκπτωσης"
"Domain";"Domain"
"Domain name";"Όνομα domain"
"Download";"Λήψη"
