"%s point%s";"%s пункт%s"
"A month";"Месяцы"
"A week";"Недели"
"Challengers";"Претенденты"
"Current game";"Текущая игра"
"Currently no challengers";"В настоящее время отсутствуют претенденты"
"Game Name";"Название игры"
"Game successfully saved";"Игра успешно сохранена"
"Next game";"Следующая игра"
"On the";"На"
"Period";"Период"
"Periodicity";"Периодичность"
"Publication date";"Дата публикации"
"Rank of the month";"Звание месяца"
"Rank of the week";"Звание недели"
"Team Leader";"Лидер группы"
