An error occurred while saving your contact informations.;Ocorreu um erro ao salvar suas informações de contato.
An error occurred while sending your request. Please try again later.;Ocorreu um erro ao enviar o seu pedido. Por favor, tente novamente mais tarde.
And his phone number:;E o seu número de telefone:
Are you sure you want to remove the picture?;Tem certeza de que deseja remover a imagem?
City;Cidade
Contact information;Informação de Contato
Here is his email:;Aqui é o seu email:
Here is his message:;Aqui é a sua mensagem:
Please enter properly the following fields: <br />;Digite corretamente os seguintes campos: <br />
Twitter;Twitter
Website;Site
You have received a message from a contact:;Você recebeu uma mensagem de um contato:
Your email;Seu e-mail
Your message has been sent;Sua mensagem foi enviada com sucesso
Your request;O seu pedido
Zip code;CEP
