"Add a page";"Afegiu una pàgina"
"Click on";"Feu clic a"
"Click on a page to add it to the folder";"Feu clic a una pàgina per afegir-lo a la carpeta"
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Feu clic a una pàgina per afegir-lo a la carpeta <span id=""folder_name"" class=""folder_name""> ""% s""</span>"
"Close mobile display";"A prop display per a mòbils"
"Delete this folder and all its subfolders?";"Voleu suprimir aquesta carpeta i totes les seves subcarpetes?"
"Folder title is required";"Títol de la carpeta és necessari"
Folders;Carpetes
"Mobile display";"Display per a mòbils"
"New folder";"Carpeta nova"
Subtitle;Subtítol
"You cannot add this feature";"No podeu afegir aquesta característica"
"You must first complete the current category creation process";"Primer heu de completar el procés de creació de categoria actual"
"You will lose all unsaved changes, continue?";"Vostè es perd tots els canvis no desats, continuar?"
"to add a folder.";"per afegir una carpeta."
