"Additionnal Information";"Supletori informació"
"And a radius (in Km):";"I un radi (en Km):"
"Android";"Android"
"Creation date";"Data de creació"
"Enter a location:";"Introduïu una ubicació:"
"GCM Key";"GCM clau"
"I want to send it";"Vull enviar-lo"
"Keys successfully saved";"Claus salvats correctament"
"Message";"Missatge"
"Message:";"Missatge:"
"Pending";"Pendent"
"Push Notifications";"Notificacions d'empenta"
"Push Notifications Settings";"Configuració de notificacions d'empenta"
"Radius";"Radi"
"Send to a specific location";"Enviar a una ubicació específica"
"Send to all my users";"Enviar a tots els meus usuaris"
"Sender ID";"ID de remitent"
"Sending date";"Data d'enviament"
"The duration limit must be higher than the sent date";"El límit de durada ha de ser superior a la data d'enviat"
"Your app must be published to send a push notification.";"Cal publicar el seu app per enviar una notificació d'empenta."
"Your message has been saved successfully and will be sent at the entered date";"El seu missatge s'ha desat correctament i s'enviarà a la data introduïda"
"Your message has been saved successfully and will be sent in a few minutes";"El seu missatge s'ha desat correctament i s'enviarà en pocs minuts"
"and users entering the area";"i entrar a la zona d'usuaris"
"for a limited period";"durant un període limitat"
"now";"ara"
"on a specific date";"en una data concreta"
